Commodity,Year,Month,Pid,Production,Consumption
Coal,1965,1,4,,0.00293076
Coal,1966,1,4,,0.002847024
Coal,1967,1,4,,0.002177136
Coal,1968,1,4,,0.00230274
Coal,1969,1,4,,0.00293076
Coal,1970,1,4,,0.003475044
Coal,1971,1,4,,0.000962964
Coal,1972,1,4,,0.00083736
Coal,1973,1,4,,0.000962964
Coal,1974,1,4,,0.000795492
Coal,1975,1,4,,0.001004832
Coal,1976,1,4,,0.001967796
Coal,1977,1,4,,0.002553948
Coal,1978,1,4,,0.001297908
Coal,1979,1,4,,0.003014496
Coal,1980,1,4,,0.002679552
Coal,1981,1,4,,0.00188406
Coal,1982,1,4,,0.03495978
Coal,1983,1,4,,0.03119166
Coal,1984,1,4,,0.034582968
Coal,1985,1,4,,0.036090216
Coal,1986,1,4,,0.03705318
Coal,1987,1,4,,0.044296344
Coal,1988,1,4,,0.04165866
Coal,1989,1,4,,0.035210988
Coal,1990,1,4,,0.027591012
Coal,1991,1,4,,0.02847024
Coal,1992,1,4,,0.033829344
Coal,1993,1,4,,0.027549144
Coal,1994,1,4,,0.02595816
Coal,1995,1,4,,0.02595816
Coal,1996,1,4,,0.012225456
Coal,1997,1,4,,0.021436416
Coal,1998,1,4,,0.022943664
Coal,1999,1,4,,0.024576516
Coal,2000,1,4,,0.02030598
Coal,2001,1,4,,0.02344608
Coal,2002,1,4,,0.03077298
Coal,2003,1,4,,0.025372008
Coal,2004,1,4,,0.030270564
Coal,2005,1,4,,0.024869592
Coal,2006,1,4,,0.036927576
Coal,2007,1,4,,0.031694076
Coal,2008,1,4,,0.031694076
Coal,2009,1,4,,0.020347848
Coal,2010,1,4,,0.01297908
Coal,2011,1,4,,0.0115137
Coal,2012,1,4,,0.012225456
Coal,2013,1,4,,0.006615144
Coal,2014,1,4,,0.007494372
Coal,2015,1,4,,0.005568444
Coal,2016,1,4,,0.002051532
Coal,2017,1,4,,0.007619976
Coal,2018,1,4,,0.020934
Coal,2019,1,4,,0.020934
Coal,1965,1,6,,
Coal,1966,1,6,,
Coal,1967,1,6,,
Coal,1968,1,6,,
Coal,1969,1,6,,
Coal,1970,1,6,,
Coal,1971,1,6,,
Coal,1972,1,6,,
Coal,1973,1,6,,
Coal,1974,1,6,,
Coal,1975,1,6,,
Coal,1976,1,6,,
Coal,1977,1,6,,
Coal,1978,1,6,,
Coal,1979,1,6,,
Coal,1980,1,6,,
Coal,1981,1,6,,
Coal,1982,1,6,,
Coal,1983,1,6,,
Coal,1984,1,6,,
Coal,1985,1,6,,
Coal,1986,1,6,,
Coal,1987,1,6,,
Coal,1988,1,6,,
Coal,1989,1,6,,
Coal,1990,1,6,,
Coal,1991,1,6,,
Coal,1992,1,6,,
Coal,1993,1,6,,
Coal,1994,1,6,,
Coal,1995,1,6,,
Coal,1996,1,6,,
Coal,1997,1,6,,
Coal,1998,1,6,,
Coal,1999,1,6,,
Coal,2000,1,6,,
Coal,2001,1,6,,
Coal,2002,1,6,,
Coal,2003,1,6,,
Coal,2004,1,6,,
Coal,2005,1,6,,
Coal,2006,1,6,,
Coal,2007,1,6,,
Coal,2008,1,6,,
Coal,2009,1,6,,
Coal,2010,1,6,,
Coal,2011,1,6,,
Coal,2012,1,6,,
Coal,2013,1,6,,
Coal,2014,1,6,,
Coal,2015,1,6,,
Coal,2016,1,6,,
Coal,2017,1,6,,
Coal,2018,1,6,,
Coal,2019,1,6,,
Coal,1965,1,8,,0.030438177
Coal,1966,1,8,,0.025098546
Coal,1967,1,8,,0.028225429
Coal,1968,1,8,,0.027428527
Coal,1969,1,8,,0.032839812
Coal,1970,1,8,,0.042201354
Coal,1971,1,8,,0.036999151
Coal,1972,1,8,,0.031144662
Coal,1973,1,8,,0.034187479
Coal,1974,1,8,,0.042573319
Coal,1975,1,8,,0.041439385
Coal,1976,1,8,,0.041913307
Coal,1977,1,8,,0.039630611
Coal,1978,1,8,,0.048309103
Coal,1979,1,8,,0.045006026
Coal,1980,1,8,,0.040120523
Coal,1981,1,8,,0.038017682
Coal,1982,1,8,,0.038397874
Coal,1983,1,8,,0.034847868
Coal,1984,1,8,,0.025866805
Coal,1985,1,8,,0.038158581
Coal,1986,1,8,,0.043593658
Coal,1987,1,8,,0.048382822
Coal,1988,1,8,,0.049580459
Coal,1989,1,8,,0.053649965
Coal,1990,1,8,,0.044158076
Coal,1991,1,8,,0.038858445
Coal,1992,1,8,,0.043805389
Coal,1993,1,8,,0.029051954
Coal,1994,1,8,,0.025434385
Coal,1995,1,8,,0.026690949
Coal,1996,1,8,,0.027960538
Coal,1997,1,8,,0.02205977
Coal,1998,1,8,,0.029654674
Coal,1999,1,8,,0.03558769
Coal,2000,1,8,,0.02704553
Coal,2001,1,8,,0.022164668
Coal,2002,1,8,,0.016510667
Coal,2003,1,8,,0.020137913
Coal,2004,1,8,,0.03427135
Coal,2005,1,8,,0.039461922
Coal,2006,1,8,,0.035725754
Coal,2007,1,8,,0.0516973
Coal,2008,1,8,,0.063057847
Coal,2009,1,8,,0.034635377
Coal,2010,1,8,,0.048499488
Coal,2011,1,8,,0.052627123
Coal,2012,1,8,,0.04920905
Coal,2013,1,8,,0.05378149
Coal,2014,1,8,,0.05721018
Coal,2015,1,8,,0.056930865
Coal,2016,1,8,,0.043879109
Coal,2017,1,8,,0.045091037
Coal,2018,1,8,,0.049352932
Coal,2019,1,8,,0.022851728
Coal,1965,1,12,,0.7273
Coal,1966,1,12,,0.7538
Coal,1967,1,12,,0.7749
Coal,1968,1,12,,0.7981
Coal,1969,1,12,,0.8254
Coal,1970,1,12,,0.8341
Coal,1971,1,12,,0.83725
Coal,1972,1,12,,0.87455
Coal,1973,1,12,,0.91075
Coal,1974,1,12,,0.95065
Coal,1975,1,12,,0.98115
Coal,1976,1,12,,1.01445
Coal,1977,1,12,,1.05905
Coal,1978,1,12,,1.0867
Coal,1979,1,12,,1.13595
Coal,1980,1,12,,1.16915
Coal,1981,1,12,2.838856324,1.1993
Coal,1982,1,12,2.897835495,1.21205
Coal,1983,1,12,3.019466588,1.2116
Coal,1984,1,12,3.171302359,1.28125
Coal,1985,1,12,3.867644413,1.3253
Coal,1986,1,12,4.114294311,1.35895
Coal,1987,1,12,4.297203165,1.4161
Coal,1988,1,12,4.223856645,1.48955
Coal,1989,1,12,4.588840801,1.56225
Coal,1990,1,12,4.804564366,1.59965
Coal,1991,1,12,4.983927391,1.63175
Coal,1992,1,12,5.318046916,1.64145
Coal,1993,1,12,5.342760234,1.652
Coal,1994,1,12,5.460877267,1.68575
Coal,1995,1,12,5.730544761,1.743
Coal,1996,1,12,5.906456124,1.81425
Coal,1997,1,12,6.440811441,1.90605
Coal,1998,1,12,6.595566427,1.9911
Coal,1999,1,12,6.954904515,2.114529686
Coal,2000,1,12,7.188551224,2.129700933
Coal,2001,1,12,7.768515473,2.108202797
Coal,2002,1,12,8.006566792,2.155660364
Coal,2003,1,12,8.276571736,2.217399174
Coal,2004,1,12,8.599791732,2.310588353
Coal,2005,1,12,9.004638402,2.297264106
Coal,2006,1,12,9.204625684,2.359484506
Coal,2007,1,12,9.507078988,2.339022147
Coal,2008,1,12,9.794237405,2.437994799
Coal,2009,1,12,10.16220199,2.357241931
Coal,2010,1,12,10.49324208,2.186380861
Coal,2011,1,12,10.26292812,2.131171381
Coal,2012,1,12,11.13087309,1.995832977
Coal,2013,1,12,11.96547578,1.894232977
Coal,2014,1,12,12.81401855,1.878550195
Coal,2015,1,12,12.80052942,1.945262489
Coal,2016,1,12,12.82700071,1.943987255
Coal,2017,1,12,12.50392821,1.877342818
Coal,2018,1,12,13.06072023,1.844549393
Coal,2019,1,12,13.14794325,1.783109994
Coal,1965,1,13,,0.212813639
Coal,1966,1,13,,0.203283347
Coal,1967,1,13,,0.192423247
