name,group_name
"Almonds, Shelled Basis",Agriculture
"Animal Numbers, Cattle",Agriculture
"Apples, Fresh",Agriculture
Barley,Agriculture
"Cherries (Sweet&Sour), Fresh",Agriculture
"Coffee, Green",Agriculture
Corn,Agriculture
Cotton,Agriculture
"Meal, Cottonseed",Agriculture
"Meal, Fish",Agriculture
"Meal, Rapeseed",Agriculture
"Meal, Soybean",Agriculture
"Meal, Sunflowerseed",Agriculture
"Meat, Beef and Veal",Agriculture
"Meat, Swine",Agriculture
"Oil, Coconut",Agriculture
"Oil, Cottonseed",Agriculture
"Oil, Palm",Agriculture
"Oil, Palm Kernel",Agriculture
"Oil, Rapeseed",Agriculture
"Oil, Soybean",Agriculture
"Oil, Sunflowerseed",Agriculture
"Oilseed, Cottonseed",Agriculture
"Oilseed, Rapeseed",Agriculture
"Oilseed, Soybean",Agriculture
"Oilseed, Sunflowerseed",Agriculture
"Oranges, Fresh",Agriculture
"Pears, Fresh",Agriculture
"Pistachios, Inshell Basis",Agriculture
"Poultry, Meat, Broiler",Agriculture
"Rice, Milled",Agriculture
Sorghum,Agriculture
"Sugar, Centrifugal",Agriculture
"Walnuts, Inshell Basis",Agriculture
Wheat,Agriculture
"Animal Numbers, Swine",Agriculture
"Dairy, Butter",Agriculture
"Dairy, Cheese",Agriculture
"Dairy, Dry Whole Milk Powder",Agriculture
"Dairy, Milk, Fluid",Agriculture
"Dairy, Milk, Nonfat Dry",Agriculture
"Grapefruit, Fresh",Agriculture
"Grapes, Fresh Table",Agriculture
"Lemons/Limes, Fresh",Agriculture
"Meal, Copra",Agriculture
"Meal, Palm Kernel",Agriculture
"Meal, Peanut",Agriculture
"Oil, Olive",Agriculture
"Oil, Peanut",Agriculture
"Oilseed, Copra",Agriculture
"Oilseed, Palm Kernel",Agriculture
"Oilseed, Peanut",Agriculture
Orange Juice,Agriculture
"Peaches & Nectarines, Fresh",Agriculture
"Tangerines/Mandarins, Fresh",Agriculture
Oats,Agriculture
"Meat, Chicken",Agriculture
Rye,Agriculture
Millet,Agriculture
Mixed Grain,Agriculture
"Meal, Soybean (Local)",Agriculture
"Oil, Soybean (Local)",Agriculture
"Oilseed, Soybean (Local)",Agriculture
