YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2001,1,AK,Total Electric Power Industry,Coal (Short Tons),47615
2001,1,AK,Total Electric Power Industry,Petroleum (Barrels),124998
2001,1,AK,Total Electric Power Industry,Natural Gas (Mcf),3941267
2001,1,AL,Total Electric Power Industry,Coal (Short Tons),3020601
2001,1,AL,Total Electric Power Industry,Petroleum (Barrels),284241
2001,1,AL,Total Electric Power Industry,Natural Gas (Mcf),5213844
2001,1,AR,Total Electric Power Industry,Coal (Short Tons),1299773
2001,1,AR,Total Electric Power Industry,Petroleum (Barrels),209194
2001,1,AR,Total Electric Power Industry,Natural Gas (Mcf),2116520
2001,1,AZ,Total Electric Power Industry,Coal (Short Tons),1752881
2001,1,AZ,Total Electric Power Industry,Petroleum (Barrels),268016
2001,1,AZ,Total Electric Power Industry,Natural Gas (Mcf),7203167
2001,1,CA,Total Electric Power Industry,Coal (Short Tons),85430
2001,1,CA,Total Electric Power Industry,Petroleum (Barrels),960824
2001,1,CA,Total Electric Power Industry,Natural Gas (Mcf),94388265
2001,1,CO,Total Electric Power Industry,Coal (Short Tons),1761516
2001,1,CO,Total Electric Power Industry,Petroleum (Barrels),41490
2001,1,CO,Total Electric Power Industry,Natural Gas (Mcf),5895726
2001,1,CT,Total Electric Power Industry,Coal (Short Tons),129900
2001,1,CT,Total Electric Power Industry,Petroleum (Barrels),1515098
2001,1,CT,Total Electric Power Industry,Natural Gas (Mcf),1028670
2001,1,DC,Total Electric Power Industry,Petroleum (Barrels),25410
2001,1,DE,Total Electric Power Industry,Coal (Short Tons),207094
2001,1,DE,Total Electric Power Industry,Petroleum (Barrels),256313
2001,1,DE,Total Electric Power Industry,Natural Gas (Mcf),78375
2001,1,FL,Total Electric Power Industry,Coal (Short Tons),2719355
2001,1,FL,Total Electric Power Industry,Petroleum (Barrels),7416967
2001,1,FL,Total Electric Power Industry,Natural Gas (Mcf),17984564
