Commodity,State,Year,production,domestic_consumption
Electricity,AK,2019,6070843,5818805
Electricity,AL,2019,142679433,88095112
Electricity,AR,2019,64442898,48093032
Electricity,AZ,2019,113551987,77929170
Electricity,CA,2019,201784204,250378710
Electricity,CO,2019,56337734,56520823
Electricity,CT,2019,40050038,27899996
Electricity,DC,2019,174080,11028403
Electricity,DE,2019,5258538,11469422
Electricity,FL,2019,245603485,240347955
Electricity,GA,2019,128691569,139300990
Electricity,HI,2019,9749998,9452887
Electricity,IA,2019,62649563,51043148
Electricity,ID,2019,18407812,23985275
Electricity,IL,2019,184470052,138319481
Electricity,IN,2019,102505381,102104203
Electricity,KS,2019,50887992,41159628
Electricity,KY,2019,71804254,75345382
Electricity,LA,2019,100174762,93128525
Electricity,MA,2019,21515636,51336598
Electricity,MD,2019,39325595,60720658
Electricity,ME,2019,10490562,11732040
Electricity,MI,2019,116701488,101249293
Electricity,MN,2019,59379390,66965594
Electricity,MO,2019,78278751,78857775
Electricity,MS,2019,65958760,48951026
Electricity,MT,2019,27797079,15321271
Electricity,NC,2019,131173861,136435531
Electricity,ND,2019,41147324,21559255
Electricity,NE,2019,37297615,30383190
Electricity,NH,2019,18026595,10711657
Electricity,NJ,2019,71018774,73916704
Electricity,NM,2019,35174510,24880134
Electricity,NV,2019,39889660,36982386
Electricity,NY,2019,131603289,145600345
Electricity,OH,2019,120001126,148521920
Electricity,OK,2019,85216501,64795946
Electricity,OR,2019,62258378,50404386
Electricity,PA,2019,228995331,145580383
Electricity,RI,2019,7624403,7349915
Electricity,SC,2019,100107504,80205620
Electricity,SD,2019,14506647,12868931
Electricity,TN,2019,82327109,99829100
Electricity,TX,2019,483201031,429343404
Electricity,UT,2019,39117033,31142565
Electricity,VA,2019,96827639,118435380
Electricity,VT,2019,2289798,5427664
Electricity,WA,2019,106463608,91052796
Electricity,WI,2019,62774299,69157540
Electricity,WV,2019,63925639,33247013
Electricity,WY,2019,42145656,16763496
Electricity,AK,2018,6247359,5972467
Electricity,AL,2018,145057994,90280456
Electricity,AR,2018,67999352,49602708
Electricity,AZ,2018,111925144,78346302
Electricity,CA,2018,195465638,255224272
Electricity,CO,2018,55386279,56450480
Electricity,CT,2018,39453552,28833925
Electricity,DC,2018,79331,11357910
Electricity,DE,2018,6240644,11773100
