Commodity,Country,Year,Production,Consumption,ISO3166_alpha3,ISO3166_numeric
Coal,Algeria,1965,,0.00293076,DZA,12
Coal,Algeria,1966,,0.002847024,DZA,12
Coal,Algeria,1967,,0.002177136,DZA,12
Coal,Algeria,1968,,0.00230274,DZA,12
Coal,Algeria,1969,,0.00293076,DZA,12
Coal,Algeria,1970,,0.003475044,DZA,12
Coal,Algeria,1971,,0.000962964,DZA,12
Coal,Algeria,1972,,0.00083736,DZA,12
Coal,Algeria,1973,,0.000962964,DZA,12
Coal,Algeria,1974,,0.000795492,DZA,12
Coal,Algeria,1975,,0.001004832,DZA,12
Coal,Algeria,1976,,0.001967796,DZA,12
Coal,Algeria,1977,,0.002553948,DZA,12
Coal,Algeria,1978,,0.001297908,DZA,12
Coal,Algeria,1979,,0.003014496,DZA,12
Coal,Algeria,1980,,0.002679552,DZA,12
Coal,Algeria,1981,,0.00188406,DZA,12
Coal,Algeria,1982,,0.03495978,DZA,12
Coal,Algeria,1983,,0.03119166,DZA,12
Coal,Algeria,1984,,0.034582968,DZA,12
Coal,Algeria,1985,,0.036090216,DZA,12
Coal,Algeria,1986,,0.03705318,DZA,12
Coal,Algeria,1987,,0.044296344,DZA,12
Coal,Algeria,1988,,0.04165866,DZA,12
Coal,Algeria,1989,,0.035210988,DZA,12
Coal,Algeria,1990,,0.027591012,DZA,12
Coal,Algeria,1991,,0.02847024,DZA,12
Coal,Algeria,1992,,0.033829344,DZA,12
Coal,Algeria,1993,,0.027549144,DZA,12
Coal,Algeria,1994,,0.02595816,DZA,12
Coal,Algeria,1995,,0.02595816,DZA,12
Coal,Algeria,1996,,0.012225456,DZA,12
Coal,Algeria,1997,,0.021436416,DZA,12
Coal,Algeria,1998,,0.022943664,DZA,12
Coal,Algeria,1999,,0.024576516,DZA,12
Coal,Algeria,2000,,0.02030598,DZA,12
Coal,Algeria,2001,,0.02344608,DZA,12
Coal,Algeria,2002,,0.03077298,DZA,12
Coal,Algeria,2003,,0.025372008,DZA,12
Coal,Algeria,2004,,0.030270564,DZA,12
Coal,Algeria,2005,,0.024869592,DZA,12
Coal,Algeria,2006,,0.036927576,DZA,12
Coal,Algeria,2007,,0.031694076,DZA,12
Coal,Algeria,2008,,0.031694076,DZA,12
Coal,Algeria,2009,,0.020347848,DZA,12
Coal,Algeria,2010,,0.01297908,DZA,12
Coal,Algeria,2011,,0.0115137,DZA,12
Coal,Algeria,2012,,0.012225456,DZA,12
Coal,Algeria,2013,,0.006615144,DZA,12
Coal,Algeria,2014,,0.007494372,DZA,12
Coal,Algeria,2015,,0.005568444,DZA,12
Coal,Algeria,2016,,0.002051532,DZA,12
Coal,Algeria,2017,,0.007619976,DZA,12
Coal,Algeria,2018,,0.020934,DZA,12
Coal,Algeria,2019,,0.020934,DZA,12
Coal,Angola,1965,,,AGO,24
Coal,Angola,1966,,,AGO,24
Coal,Angola,1967,,,AGO,24
Coal,Angola,1968,,,AGO,24
Coal,Angola,1969,,,AGO,24
Coal,Angola,1970,,,AGO,24
