Commodity,Country,Year,Production,Consumption,Pid,ISO3166_alpha3,ISO3166_numeric
Coal,Algeria,1965,,0.00293076,4,DZA,12
Coal,Algeria,1966,,0.002847024,4,DZA,12
Coal,Algeria,1967,,0.002177136,4,DZA,12
Coal,Algeria,1968,,0.00230274,4,DZA,12
Coal,Algeria,1969,,0.00293076,4,DZA,12
Coal,Algeria,1970,,0.003475044,4,DZA,12
Coal,Algeria,1971,,0.000962964,4,DZA,12
Coal,Algeria,1972,,0.00083736,4,DZA,12
Coal,Algeria,1973,,0.000962964,4,DZA,12
Coal,Algeria,1974,,0.000795492,4,DZA,12
Coal,Algeria,1975,,0.001004832,4,DZA,12
Coal,Algeria,1976,,0.001967796,4,DZA,12
Coal,Algeria,1977,,0.002553948,4,DZA,12
Coal,Algeria,1978,,0.001297908,4,DZA,12
Coal,Algeria,1979,,0.003014496,4,DZA,12
Coal,Algeria,1980,,0.002679552,4,DZA,12
Coal,Algeria,1981,,0.00188406,4,DZA,12
Coal,Algeria,1982,,0.03495978,4,DZA,12
Coal,Algeria,1983,,0.03119166,4,DZA,12
Coal,Algeria,1984,,0.034582968,4,DZA,12
Coal,Algeria,1985,,0.036090216,4,DZA,12
Coal,Algeria,1986,,0.03705318,4,DZA,12
Coal,Algeria,1987,,0.044296344,4,DZA,12
Coal,Algeria,1988,,0.04165866,4,DZA,12
Coal,Algeria,1989,,0.035210988,4,DZA,12
Coal,Algeria,1990,,0.027591012,4,DZA,12
Coal,Algeria,1991,,0.02847024,4,DZA,12
Coal,Algeria,1992,,0.033829344,4,DZA,12
Coal,Algeria,1993,,0.027549144,4,DZA,12
Coal,Algeria,1994,,0.02595816,4,DZA,12
Coal,Algeria,1995,,0.02595816,4,DZA,12
Coal,Algeria,1996,,0.012225456,4,DZA,12
Coal,Algeria,1997,,0.021436416,4,DZA,12
Coal,Algeria,1998,,0.022943664,4,DZA,12
Coal,Algeria,1999,,0.024576516,4,DZA,12
Coal,Algeria,2000,,0.02030598,4,DZA,12
Coal,Algeria,2001,,0.02344608,4,DZA,12
Coal,Algeria,2002,,0.03077298,4,DZA,12
Coal,Algeria,2003,,0.025372008,4,DZA,12
Coal,Algeria,2004,,0.030270564,4,DZA,12
Coal,Algeria,2005,,0.024869592,4,DZA,12
Coal,Algeria,2006,,0.036927576,4,DZA,12
Coal,Algeria,2007,,0.031694076,4,DZA,12
Coal,Algeria,2008,,0.031694076,4,DZA,12
Coal,Algeria,2009,,0.020347848,4,DZA,12
Coal,Algeria,2010,,0.01297908,4,DZA,12
Coal,Algeria,2011,,0.0115137,4,DZA,12
Coal,Algeria,2012,,0.012225456,4,DZA,12
Coal,Algeria,2013,,0.006615144,4,DZA,12
Coal,Algeria,2014,,0.007494372,4,DZA,12
Coal,Algeria,2015,,0.005568444,4,DZA,12
Coal,Algeria,2016,,0.002051532,4,DZA,12
Coal,Algeria,2017,,0.007619976,4,DZA,12
Coal,Algeria,2018,,0.020934,4,DZA,12
Coal,Algeria,2019,,0.020934,4,DZA,12
Coal,Angola,1965,,,6,AGO,24
Coal,Angola,1966,,,6,AGO,24
Coal,Angola,1967,,,6,AGO,24
Coal,Angola,1968,,,6,AGO,24
Coal,Angola,1969,,,6,AGO,24
Coal,Angola,1970,,,6,AGO,24
Coal,Angola,1971,,,6,AGO,24
Coal,Angola,1972,,,6,AGO,24
Coal,Angola,1973,,,6,AGO,24
Coal,Angola,1974,,,6,AGO,24
Coal,Angola,1975,,,6,AGO,24
Coal,Angola,1976,,,6,AGO,24
Coal,Angola,1977,,,6,AGO,24
Coal,Angola,1978,,,6,AGO,24
Coal,Angola,1979,,,6,AGO,24
Coal,Angola,1980,,,6,AGO,24
Coal,Angola,1981,,,6,AGO,24
Coal,Angola,1982,,,6,AGO,24
Coal,Angola,1983,,,6,AGO,24
Coal,Angola,1984,,,6,AGO,24
Coal,Angola,1985,,,6,AGO,24
Coal,Angola,1986,,,6,AGO,24
Coal,Angola,1987,,,6,AGO,24
Coal,Angola,1988,,,6,AGO,24
Coal,Angola,1989,,,6,AGO,24
Coal,Angola,1990,,,6,AGO,24
Coal,Angola,1991,,,6,AGO,24
Coal,Angola,1992,,,6,AGO,24
Coal,Angola,1993,,,6,AGO,24
Coal,Angola,1994,,,6,AGO,24
Coal,Angola,1995,,,6,AGO,24
Coal,Angola,1996,,,6,AGO,24
Coal,Angola,1997,,,6,AGO,24
Coal,Angola,1998,,,6,AGO,24
Coal,Angola,1999,,,6,AGO,24
Coal,Angola,2000,,,6,AGO,24
Coal,Angola,2001,,,6,AGO,24
Coal,Angola,2002,,,6,AGO,24
Coal,Angola,2003,,,6,AGO,24
Coal,Angola,2004,,,6,AGO,24
Coal,Angola,2005,,,6,AGO,24
Coal,Angola,2006,,,6,AGO,24
Coal,Angola,2007,,,6,AGO,24
Coal,Angola,2008,,,6,AGO,24
Coal,Angola,2009,,,6,AGO,24
Coal,Angola,2010,,,6,AGO,24
Coal,Angola,2011,,,6,AGO,24
Coal,Angola,2012,,,6,AGO,24
Coal,Angola,2013,,,6,AGO,24
Coal,Angola,2014,,,6,AGO,24
Coal,Angola,2015,,,6,AGO,24
Coal,Angola,2016,,,6,AGO,24
Coal,Angola,2017,,,6,AGO,24
Coal,Angola,2018,,,6,AGO,24
Coal,Angola,2019,,,6,AGO,24
Coal,Argentina,1965,,0.030438177,8,ARG,32
Coal,Argentina,1966,,0.025098546,8,ARG,32
Coal,Argentina,1967,,0.028225429,8,ARG,32
Coal,Argentina,1968,,0.027428527,8,ARG,32
Coal,Argentina,1969,,0.032839812,8,ARG,32
Coal,Argentina,1970,,0.042201354,8,ARG,32
Coal,Argentina,1971,,0.036999151,8,ARG,32
Coal,Argentina,1972,,0.031144662,8,ARG,32
Coal,Argentina,1973,,0.034187479,8,ARG,32
Coal,Argentina,1974,,0.042573319,8,ARG,32
Coal,Argentina,1975,,0.041439385,8,ARG,32
Coal,Argentina,1976,,0.041913307,8,ARG,32
Coal,Argentina,1977,,0.039630611,8,ARG,32
Coal,Argentina,1978,,0.048309103,8,ARG,32
Coal,Argentina,1979,,0.045006026,8,ARG,32
Coal,Argentina,1980,,0.040120523,8,ARG,32
Coal,Argentina,1981,,0.038017682,8,ARG,32
Coal,Argentina,1982,,0.038397874,8,ARG,32
Coal,Argentina,1983,,0.034847868,8,ARG,32
Coal,Argentina,1984,,0.025866805,8,ARG,32
Coal,Argentina,1985,,0.038158581,8,ARG,32
Coal,Argentina,1986,,0.043593658,8,ARG,32
Coal,Argentina,1987,,0.048382822,8,ARG,32
Coal,Argentina,1988,,0.049580459,8,ARG,32
Coal,Argentina,1989,,0.053649965,8,ARG,32
Coal,Argentina,1990,,0.044158076,8,ARG,32
Coal,Argentina,1991,,0.038858445,8,ARG,32
Coal,Argentina,1992,,0.043805389,8,ARG,32
Coal,Argentina,1993,,0.029051954,8,ARG,32
Coal,Argentina,1994,,0.025434385,8,ARG,32
Coal,Argentina,1995,,0.026690949,8,ARG,32
Coal,Argentina,1996,,0.027960538,8,ARG,32
Coal,Argentina,1997,,0.02205977,8,ARG,32
Coal,Argentina,1998,,0.029654674,8,ARG,32
Coal,Argentina,1999,,0.03558769,8,ARG,32
Coal,Argentina,2000,,0.02704553,8,ARG,32
Coal,Argentina,2001,,0.022164668,8,ARG,32
Coal,Argentina,2002,,0.016510667,8,ARG,32
Coal,Argentina,2003,,0.020137913,8,ARG,32
Coal,Argentina,2004,,0.03427135,8,ARG,32
Coal,Argentina,2005,,0.039461922,8,ARG,32
Coal,Argentina,2006,,0.035725754,8,ARG,32
Coal,Argentina,2007,,0.0516973,8,ARG,32
Coal,Argentina,2008,,0.063057847,8,ARG,32
Coal,Argentina,2009,,0.034635377,8,ARG,32
Coal,Argentina,2010,,0.048499488,8,ARG,32
Coal,Argentina,2011,,0.052627123,8,ARG,32
Coal,Argentina,2012,,0.04920905,8,ARG,32
Coal,Argentina,2013,,0.05378149,8,ARG,32
Coal,Argentina,2014,,0.05721018,8,ARG,32
Coal,Argentina,2015,,0.056930865,8,ARG,32
Coal,Argentina,2016,,0.043879109,8,ARG,32
Coal,Argentina,2017,,0.045091037,8,ARG,32
Coal,Argentina,2018,,0.049352932,8,ARG,32
Coal,Argentina,2019,,0.022851728,8,ARG,32
Coal,Australia,1965,,0.7273,12,AUS,36
Coal,Australia,1966,,0.7538,12,AUS,36
Coal,Australia,1967,,0.7749,12,AUS,36
Coal,Australia,1968,,0.7981,12,AUS,36
Coal,Australia,1969,,0.8254,12,AUS,36
Coal,Australia,1970,,0.8341,12,AUS,36
Coal,Australia,1971,,0.83725,12,AUS,36
Coal,Australia,1972,,0.87455,12,AUS,36
Coal,Australia,1973,,0.91075,12,AUS,36
Coal,Australia,1974,,0.95065,12,AUS,36
Coal,Australia,1975,,0.98115,12,AUS,36
Coal,Australia,1976,,1.01445,12,AUS,36
Coal,Australia,1977,,1.05905,12,AUS,36
Coal,Australia,1978,,1.0867,12,AUS,36
Coal,Australia,1979,,1.13595,12,AUS,36
Coal,Australia,1980,,1.16915,12,AUS,36
Coal,Australia,1981,2.838856324,1.1993,12,AUS,36
