Commodity,Pid,Year,Production,Consumption,Country
Coal,4,1965,,0.00293076,Algeria
Coal,4,1966,,0.002847024,Algeria
Coal,4,1967,,0.002177136,Algeria
Coal,4,1968,,0.00230274,Algeria
Coal,4,1969,,0.00293076,Algeria
Coal,4,1970,,0.003475044,Algeria
Coal,4,1971,,0.000962964,Algeria
Coal,4,1972,,0.00083736,Algeria
Coal,4,1973,,0.000962964,Algeria
Coal,4,1974,,0.000795492,Algeria
Coal,4,1975,,0.001004832,Algeria
Coal,4,1976,,0.001967796,Algeria
Coal,4,1977,,0.002553948,Algeria
Coal,4,1978,,0.001297908,Algeria
Coal,4,1979,,0.003014496,Algeria
Coal,4,1980,,0.002679552,Algeria
Coal,4,1981,,0.00188406,Algeria
Coal,4,1982,,0.03495978,Algeria
Coal,4,1983,,0.03119166,Algeria
Coal,4,1984,,0.034582968,Algeria
Coal,4,1985,,0.036090216,Algeria
Coal,4,1986,,0.03705318,Algeria
Coal,4,1987,,0.044296344,Algeria
Coal,4,1988,,0.04165866,Algeria
Coal,4,1989,,0.035210988,Algeria
Coal,4,1990,,0.027591012,Algeria
Coal,4,1991,,0.02847024,Algeria
Coal,4,1992,,0.033829344,Algeria
Coal,4,1993,,0.027549144,Algeria
Coal,4,1994,,0.02595816,Algeria
Coal,4,1995,,0.02595816,Algeria
Coal,4,1996,,0.012225456,Algeria
Coal,4,1997,,0.021436416,Algeria
Coal,4,1998,,0.022943664,Algeria
Coal,4,1999,,0.024576516,Algeria
Coal,4,2000,,0.02030598,Algeria
Coal,4,2001,,0.02344608,Algeria
Coal,4,2002,,0.03077298,Algeria
Coal,4,2003,,0.025372008,Algeria
Coal,4,2004,,0.030270564,Algeria
Coal,4,2005,,0.024869592,Algeria
Coal,4,2006,,0.036927576,Algeria
Coal,4,2007,,0.031694076,Algeria
Coal,4,2008,,0.031694076,Algeria
Coal,4,2009,,0.020347848,Algeria
Coal,4,2010,,0.01297908,Algeria
Coal,4,2011,,0.0115137,Algeria
Coal,4,2012,,0.012225456,Algeria
Coal,4,2013,,0.006615144,Algeria
Coal,4,2014,,0.007494372,Algeria
Coal,4,2015,,0.005568444,Algeria
Coal,4,2016,,0.002051532,Algeria
Coal,4,2017,,0.007619976,Algeria
Coal,4,2018,,0.020934,Algeria
Coal,4,2019,,0.020934,Algeria
Coal,6,1965,,,Angola
Coal,6,1966,,,Angola
Coal,6,1967,,,Angola
Coal,6,1968,,,Angola
Coal,6,1969,,,Angola
Coal,6,1970,,,Angola
Coal,6,1971,,,Angola
Coal,6,1972,,,Angola
Coal,6,1973,,,Angola
Coal,6,1974,,,Angola
Coal,6,1975,,,Angola
Coal,6,1976,,,Angola
Coal,6,1977,,,Angola
Coal,6,1978,,,Angola
Coal,6,1979,,,Angola
Coal,6,1980,,,Angola
Coal,6,1981,,,Angola
Coal,6,1982,,,Angola
Coal,6,1983,,,Angola
Coal,6,1984,,,Angola
Coal,6,1985,,,Angola
Coal,6,1986,,,Angola
Coal,6,1987,,,Angola
Coal,6,1988,,,Angola
Coal,6,1989,,,Angola
Coal,6,1990,,,Angola
Coal,6,1991,,,Angola
Coal,6,1992,,,Angola
Coal,6,1993,,,Angola
Coal,6,1994,,,Angola
Coal,6,1995,,,Angola
Coal,6,1996,,,Angola
Coal,6,1997,,,Angola
Coal,6,1998,,,Angola
Coal,6,1999,,,Angola
Coal,6,2000,,,Angola
Coal,6,2001,,,Angola
Coal,6,2002,,,Angola
Coal,6,2003,,,Angola
Coal,6,2004,,,Angola
Coal,6,2005,,,Angola
Coal,6,2006,,,Angola
Coal,6,2007,,,Angola
Coal,6,2008,,,Angola
Coal,6,2009,,,Angola
Coal,6,2010,,,Angola
Coal,6,2011,,,Angola
Coal,6,2012,,,Angola
Coal,6,2013,,,Angola
Coal,6,2014,,,Angola
Coal,6,2015,,,Angola
Coal,6,2016,,,Angola
Coal,6,2017,,,Angola
Coal,6,2018,,,Angola
Coal,6,2019,,,Angola
Coal,8,1965,,0.030438177,Argentina
Coal,8,1966,,0.025098546,Argentina
Coal,8,1967,,0.028225429,Argentina
Coal,8,1968,,0.027428527,Argentina
Coal,8,1969,,0.032839812,Argentina
Coal,8,1970,,0.042201354,Argentina
Coal,8,1971,,0.036999151,Argentina
Coal,8,1972,,0.031144662,Argentina
Coal,8,1973,,0.034187479,Argentina
Coal,8,1974,,0.042573319,Argentina
Coal,8,1975,,0.041439385,Argentina
Coal,8,1976,,0.041913307,Argentina
Coal,8,1977,,0.039630611,Argentina
Coal,8,1978,,0.048309103,Argentina
Coal,8,1979,,0.045006026,Argentina
Coal,8,1980,,0.040120523,Argentina
Coal,8,1981,,0.038017682,Argentina
Coal,8,1982,,0.038397874,Argentina
Coal,8,1983,,0.034847868,Argentina
Coal,8,1984,,0.025866805,Argentina
Coal,8,1985,,0.038158581,Argentina
Coal,8,1986,,0.043593658,Argentina
Coal,8,1987,,0.048382822,Argentina
Coal,8,1988,,0.049580459,Argentina
Coal,8,1989,,0.053649965,Argentina
Coal,8,1990,,0.044158076,Argentina
Coal,8,1991,,0.038858445,Argentina
Coal,8,1992,,0.043805389,Argentina
Coal,8,1993,,0.029051954,Argentina
Coal,8,1994,,0.025434385,Argentina
Coal,8,1995,,0.026690949,Argentina
Coal,8,1996,,0.027960538,Argentina
Coal,8,1997,,0.02205977,Argentina
Coal,8,1998,,0.029654674,Argentina
Coal,8,1999,,0.03558769,Argentina
Coal,8,2000,,0.02704553,Argentina
Coal,8,2001,,0.022164668,Argentina
Coal,8,2002,,0.016510667,Argentina
Coal,8,2003,,0.020137913,Argentina
Coal,8,2004,,0.03427135,Argentina
Coal,8,2005,,0.039461922,Argentina
Coal,8,2006,,0.035725754,Argentina
Coal,8,2007,,0.0516973,Argentina
Coal,8,2008,,0.063057847,Argentina
Coal,8,2009,,0.034635377,Argentina
Coal,8,2010,,0.048499488,Argentina
Coal,8,2011,,0.052627123,Argentina
Coal,8,2012,,0.04920905,Argentina
Coal,8,2013,,0.05378149,Argentina
Coal,8,2014,,0.05721018,Argentina
Coal,8,2015,,0.056930865,Argentina
Coal,8,2016,,0.043879109,Argentina
Coal,8,2017,,0.045091037,Argentina
Coal,8,2018,,0.049352932,Argentina
Coal,8,2019,,0.022851728,Argentina
Coal,12,1965,,0.7273,Australia
Coal,12,1966,,0.7538,Australia
Coal,12,1967,,0.7749,Australia
Coal,12,1968,,0.7981,Australia
Coal,12,1969,,0.8254,Australia
Coal,12,1970,,0.8341,Australia
Coal,12,1971,,0.83725,Australia
Coal,12,1972,,0.87455,Australia
Coal,12,1973,,0.91075,Australia
Coal,12,1974,,0.95065,Australia
Coal,12,1975,,0.98115,Australia
Coal,12,1976,,1.01445,Australia
Coal,12,1977,,1.05905,Australia
Coal,12,1978,,1.0867,Australia
Coal,12,1979,,1.13595,Australia
Coal,12,1980,,1.16915,Australia
Coal,12,1981,2.838856324,1.1993,Australia
Coal,12,1982,2.897835495,1.21205,Australia
Coal,12,1983,3.019466588,1.2116,Australia
Coal,12,1984,3.171302359,1.28125,Australia
Coal,12,1985,3.867644413,1.3253,Australia
Coal,12,1986,4.114294311,1.35895,Australia
Coal,12,1987,4.297203165,1.4161,Australia
Coal,12,1988,4.223856645,1.48955,Australia
Coal,12,1989,4.588840801,1.56225,Australia
Coal,12,1990,4.804564366,1.59965,Australia
Coal,12,1991,4.983927391,1.63175,Australia
Coal,12,1992,5.318046916,1.64145,Australia
Coal,12,1993,5.342760234,1.652,Australia
Coal,12,1994,5.460877267,1.68575,Australia
Coal,12,1995,5.730544761,1.743,Australia
Coal,12,1996,5.906456124,1.81425,Australia
Coal,12,1997,6.440811441,1.90605,Australia
Coal,12,1998,6.595566427,1.9911,Australia
Coal,12,1999,6.954904515,2.114529686,Australia
Coal,12,2000,7.188551224,2.129700933,Australia
Coal,12,2001,7.768515473,2.108202797,Australia
Coal,12,2002,8.006566792,2.155660364,Australia
Coal,12,2003,8.276571736,2.217399174,Australia
Coal,12,2004,8.599791732,2.310588353,Australia
Coal,12,2005,9.004638402,2.297264106,Australia
Coal,12,2006,9.204625684,2.359484506,Australia
Coal,12,2007,9.507078988,2.339022147,Australia
Coal,12,2008,9.794237405,2.437994799,Australia
Coal,12,2009,10.16220199,2.357241931,Australia
Coal,12,2010,10.49324208,2.186380861,Australia
Coal,12,2011,10.26292812,2.131171381,Australia
Coal,12,2012,11.13087309,1.995832977,Australia
Coal,12,2013,11.96547578,1.894232977,Australia
Coal,12,2014,12.81401855,1.878550195,Australia
Coal,12,2015,12.80052942,1.945262489,Australia
Coal,12,2016,12.82700071,1.943987255,Australia
Coal,12,2017,12.50392821,1.877342818,Australia
Coal,12,2018,13.06072023,1.844549393,Australia
Coal,12,2019,13.14794325,1.783109994,Australia
Coal,13,1965,,0.212813639,Austria
Coal,13,1966,,0.203283347,Austria
Coal,13,1967,,0.192423247,Austria
Coal,13,1968,,0.189985265,Austria
Coal,13,1969,,0.186971033,Austria
Coal,13,1970,,0.201075,Austria
Coal,13,1971,,0.184441,Austria
Coal,13,1972,,0.167234,Austria
Coal,13,1973,,0.166211,Austria
Coal,13,1974,,0.175402,Austria
Coal,13,1975,,0.152426,Austria
Coal,13,1976,,0.162216,Austria
Coal,13,1977,,0.136081,Austria
Coal,13,1978,,0.138248,Austria
Coal,13,1979,,0.15007,Austria
Coal,13,1980,,0.154205,Austria
Coal,13,1981,,0.15786,Austria
Coal,13,1982,,0.15014,Austria
Coal,13,1983,,0.160761,Austria
Coal,13,1984,,0.183191,Austria
Coal,13,1985,,0.182934,Austria
Coal,13,1986,,0.163089,Austria
Coal,13,1987,,0.161782,Austria
Coal,13,1988,,0.154922,Austria
Coal,13,1989,,0.155621,Austria
Coal,13,1990,,0.171506,Austria
Coal,13,1991,,0.1799,Austria
Coal,13,1992,,0.139975288,Austria
Coal,13,1993,,0.125851501,Austria
Coal,13,1994,,0.127636,Austria
Coal,13,1995,,0.14521911,Austria
Coal,13,1996,,0.14583669,Austria
Coal,13,1997,,0.154686709,Austria
Coal,13,1998,,0.136188,Austria
Coal,13,1999,,0.135251699,Austria
Coal,13,2000,,0.152924419,Austria
Coal,13,2001,,0.157972081,Austria
Coal,13,2002,,0.160486962,Austria
Coal,13,2003,,0.1711717,Austria
Coal,13,2004,,0.167674703,Austria
Coal,13,2005,,0.167176972,Austria
Coal,13,2006,,0.167032694,Austria
