Commodity,Pid,Year,Production,Consumption,Country
Crude oil,4,1965,1.115158376,0.054991468,Algeria
Crude oil,4,1966,1.435259218,0.072226962,Algeria
Crude oil,4,1967,1.648687791,0.067320819,Algeria
Crude oil,4,1968,1.809886865,0.071757679,Algeria
Crude oil,4,1969,1.895724977,0.075725256,Algeria
Crude oil,4,1970,2.061155875,0.08668942,Algeria
Crude oil,4,1971,1.569866039,0.097610922,Algeria
Crude oil,4,1972,2.121436907,0.10725256,Algeria
Crude oil,4,1973,2.205573048,0.116851536,Algeria
Crude oil,4,1974,2.040704494,0.129522184,Algeria
Crude oil,4,1975,1.996753381,0.144112628,Algeria
Crude oil,4,1976,2.228205526,0.165401024,Algeria
Crude oil,4,1977,2.378678936,0.187713311,Algeria
Crude oil,4,1978,2.428982675,0.192875427,Algeria
Crude oil,4,1979,2.478090021,0.231228669,Algeria
Crude oil,4,1980,2.198910214,0.233319113,Algeria
Crude oil,4,1981,1.959329571,0.251237201,Algeria
Crude oil,4,1982,1.949262171,0.266424915,Algeria
Crude oil,4,1983,1.917808156,0.299104096,Algeria
Crude oil,4,1984,2.081312381,0.33105802,Algeria
Crude oil,4,1985,2.007722622,0.339846416,Algeria
Crude oil,4,1986,2.068227335,0.344624573,Algeria
Crude oil,4,1987,2.141542504,0.348037543,Algeria
Crude oil,4,1988,2.242972249,0.348464164,Algeria
Crude oil,4,1989,2.324437548,0.364889078,Algeria
Crude oil,4,1990,2.489568683,0.390614334,Algeria
Crude oil,4,1991,2.503998633,0.38690273,Algeria
Crude oil,4,1992,2.410469735,0.388779863,Algeria
Crude oil,4,1993,2.402867389,0.387329352,Algeria
Crude oil,4,1994,2.392118362,0.369880546,Algeria
Crude oil,4,1995,2.381026212,0.359769625,Algeria
Crude oil,4,1996,2.517590439,0.343856655,Algeria
Crude oil,4,1997,2.626579573,0.340699659,Algeria
Crude oil,4,1998,2.618847843,0.350554608,Algeria
Crude oil,4,1999,2.496947912,0.345989761,Algeria
Crude oil,4,2000,2.849274744,0.36190273,Algeria
Crude oil,4,2001,2.805076792,0.374658703,Algeria
Crude oil,4,2002,3.024488055,0.415273038,Algeria
Crude oil,4,2003,3.370520478,0.431953925,Algeria
Crude oil,4,2004,3.564462457,0.451791809,Algeria
Crude oil,4,2005,3.687613908,0.470750683,Algeria
Crude oil,4,2006,3.677559727,0.491292662,Algeria
Crude oil,4,2007,3.689505119,0.550365457,Algeria
Crude oil,4,2008,3.61608396,0.598153925,Algeria
Crude oil,4,2009,3.29496587,0.634300341,Algeria
Crude oil,4,2010,3.147397611,0.632892491,Algeria
Crude oil,4,2011,3.057807167,0.675170648,Algeria
Crude oil,4,2012,2.867406143,0.717448805,Algeria
Crude oil,4,2013,2.763822526,0.749360068,Algeria
Crude oil,4,2014,2.933916382,0.779650171,Algeria
Crude oil,4,2015,2.867960751,0.8303157,Algeria
Crude oil,4,2016,2.918813993,0.806548635,Algeria
Crude oil,4,2017,2.84334471,0.791437713,Algeria
Crude oil,4,2018,2.787201365,0.809505119,Algeria
Crude oil,4,2019,2.743856655,0.857576792,Algeria
Crude oil,6,1965,0.027943686,0,Angola
Crude oil,6,1966,0.026919795,0,Angola
Crude oil,6,1967,0.022909556,0,Angola
Crude oil,6,1968,0.031996587,0,Angola
Crude oil,6,1969,0.104863481,0,Angola
Crude oil,6,1970,0.216083618,0,Angola
Crude oil,6,1971,0.244069966,0,Angola
Crude oil,6,1972,0.301066553,0,Angola
Crude oil,6,1973,0.348762799,0,Angola
Crude oil,6,1974,0.364377133,0,Angola
Crude oil,6,1975,0.332380546,0,Angola
Crude oil,6,1976,0.322696246,0,Angola
Crude oil,6,1977,0.301279863,0,Angola
Crude oil,6,1978,0.275981229,0,Angola
Crude oil,6,1979,0.307167235,0,Angola
Crude oil,6,1980,0.316894198,0,Angola
Crude oil,6,1981,0.305375427,0,Angola
Crude oil,6,1982,0.273464164,0,Angola
Crude oil,6,1983,0.375,0,Angola
Crude oil,6,1984,0.429778157,0,Angola
Crude oil,6,1985,0.488566553,0,Angola
Crude oil,6,1986,0.594112628,0,Angola
Crude oil,6,1987,0.746843003,0,Angola
Crude oil,6,1988,0.95221843,0,Angola
Crude oil,6,1989,0.965955631,0,Angola
Crude oil,6,1990,0.997440273,0,Angola
Crude oil,6,1991,1.045819113,0,Angola
Crude oil,6,1992,1.158404437,0,Angola
Crude oil,6,1993,1.058447099,0,Angola
Crude oil,6,1994,1.16996587,0,Angola
Crude oil,6,1995,1.329906143,0,Angola
Crude oil,6,1996,1.508703072,0,Angola
Crude oil,6,1997,1.557167235,0,Angola
Crude oil,6,1998,1.535836177,0,Angola
Crude oil,6,1999,1.565699659,0,Angola
Crude oil,6,2000,1.572098976,0,Angola
Crude oil,6,2001,1.559300341,0,Angola
Crude oil,6,2002,1.902730375,0,Angola
Crude oil,6,2003,1.827334844,0,Angola
Crude oil,6,2004,2.328625228,0,Angola
Crude oil,6,2005,2.663582073,0,Angola
Crude oil,6,2006,2.929985622,0,Angola
Crude oil,6,2007,3.463495593,0,Angola
Crude oil,6,2008,3.937312697,0,Angola
Crude oil,6,2009,3.670512466,0,Angola
Crude oil,6,2010,3.793877298,0,Angola
Crude oil,6,2011,3.49964808,0,Angola
Crude oil,6,2012,3.63890174,0,Angola
Crude oil,6,2013,3.635064826,0,Angola
Crude oil,6,2014,3.552790616,0,Angola
Crude oil,6,2015,3.761205577,0,Angola
Crude oil,6,2016,3.659045931,0,Angola
Crude oil,6,2017,3.481439512,0,Angola
Crude oil,6,2018,3.160641312,0,Angola
Crude oil,6,2019,2.946420693,0,Angola
Crude oil,8,1965,0.58723373,0.940685831,Argentina
Crude oil,8,1966,0.624742556,0.970848493,Argentina
Crude oil,8,1967,0.680984465,0.994052734,Argentina
Crude oil,8,1968,0.746057432,1.015179799,Argentina
Crude oil,8,1969,0.772472637,1.053749965,Argentina
Crude oil,8,1970,0.853264387,0.943695448,Argentina
Crude oil,8,1971,0.920258621,1.00725256,Argentina
Crude oil,8,1972,0.947868365,1.008233788,Argentina
Crude oil,8,1973,0.921551724,1.010494881,Argentina
Crude oil,8,1974,0.902080146,1.01774744,Argentina
Crude oil,8,1975,0.864358009,0.956868601,Argentina
Crude oil,8,1976,0.870910321,0.994709898,Argentina
Crude oil,8,1977,0.941210133,1.046885666,Argentina
Crude oil,8,1978,0.990181829,1.04637372,Argentina
Crude oil,8,1979,1.035755267,1.107081911,Argentina
Crude oil,8,1980,1.077945157,1.034940273,Argentina
Crude oil,8,1981,1.097968401,0.956697952,Argentina
Crude oil,8,1982,1.090926209,0.918003413,Argentina
Crude oil,8,1983,1.095021772,0.937414676,Argentina
Crude oil,8,1984,1.072600624,0.883148464,Argentina
Crude oil,8,1985,1.030657879,0.799018771,Argentina
Crude oil,8,1986,0.975625221,0.919453925,Argentina
Crude oil,8,1987,0.962994292,0.981527304,Argentina
Crude oil,8,1988,1.011935095,0.98165529,Argentina
Crude oil,8,1989,1.033701601,0.890230375,Argentina
Crude oil,8,1990,1.085177121,0.840401024,Argentina
Crude oil,8,1991,1.104180887,0.862244027,Argentina
Crude oil,8,1992,1.238926974,0.910366894,Argentina
Crude oil,8,1993,1.325419266,0.902005119,Argentina
Crude oil,8,1994,1.472312287,0.867875427,Argentina
Crude oil,8,1995,1.597991938,0.866424915,Argentina
Crude oil,8,1996,1.741296928,0.90059727,Argentina
Crude oil,8,1997,1.850920913,0.900127986,Argentina
Crude oil,8,1998,1.878330587,0.921416382,Argentina
Crude oil,8,1999,1.778535169,0.857209898,Argentina
Crude oil,8,2000,1.763970669,0.867235495,Argentina
Crude oil,8,2001,1.874111389,0.834044369,Argentina
Crude oil,8,2002,1.846162718,0.770477816,Argentina
Crude oil,8,2003,1.838482149,0.793515358,Argentina
Crude oil,8,2004,1.750248964,0.832124573,Argentina
Crude oil,8,2005,1.679568117,0.885788183,Argentina
Crude oil,8,2006,1.68230238,0.928567033,Argentina
Crude oil,8,2007,1.630310099,1.031366989,Argentina
Crude oil,8,2008,1.612832517,1.061298099,Argentina
Crude oil,8,2009,1.452374632,1.037841531,Argentina
Crude oil,8,2010,1.419732348,1.17313157,Argentina
Crude oil,8,2011,1.330432478,1.169995082,Argentina
Crude oil,8,2012,1.315731515,1.218211099,Argentina
Crude oil,8,2013,1.287796407,1.307975055,Argentina
Crude oil,8,2014,1.270746797,1.283498103,Argentina
Crude oil,8,2015,1.281812647,1.319555989,Argentina
Crude oil,8,2016,1.22145037,1.288257146,Argentina
Crude oil,8,2017,1.162122399,1.255464542,Argentina
Crude oil,8,2018,1.17501498,1.196957481,Argentina
Crude oil,8,2019,1.230126326,1.177484544,Argentina
Crude oil,12,1965,0.014769879,0.645136519,Australia
Crude oil,12,1966,0.018989844,0.768003413,Australia
Crude oil,12,1967,0.044309637,0.841680887,Australia
Crude oil,12,1968,0.082514776,0.916808874,Australia
Crude oil,12,1969,0.094949222,0.941040956,Australia
Crude oil,12,1970,0.371356956,1.041467577,Australia
Crude oil,12,1971,0.650827803,1.096075085,Australia
Crude oil,12,1972,0.694539488,1.114761092,Australia
Crude oil,12,1973,0.870069557,1.188694539,Australia
Crude oil,12,1974,0.860862029,1.259257679,Australia
Crude oil,12,1975,0.922433508,1.243003413,Australia
Crude oil,12,1976,0.944578957,1.270435154,Australia
Crude oil,12,1977,0.999349653,1.330716724,Australia
Crude oil,12,1978,0.98937089,1.333155403,Australia
Crude oil,12,1979,0.993016067,1.355465064,Australia
Crude oil,12,1980,0.931687391,1.298735351,Australia
Crude oil,12,1981,0.907467182,1.255393023,Australia
Crude oil,12,1982,0.894807286,1.260585156,Australia
Crude oil,12,1983,0.871022688,1.238253744,Australia
Crude oil,12,1984,1.129828578,1.299054753,Australia
Crude oil,12,1985,1.308993609,1.234127352,Australia
Crude oil,12,1986,1.16947895,1.264181512,Australia
Crude oil,12,1987,1.243078085,1.290432688,Australia
Crude oil,12,1988,1.179749903,1.350157159,Australia
Crude oil,12,1989,1.112710012,1.396849253,Australia
Crude oil,12,1990,1.291599206,1.416102675,Australia
Crude oil,12,1991,1.220693099,1.376241561,Australia
Crude oil,12,1992,1.203001424,1.380643056,Australia
Crude oil,12,1993,1.12207793,1.453291453,Australia
Crude oil,12,1994,1.208108639,1.508055979,Australia
Crude oil,12,1995,1.13758554,1.555203451,Australia
Crude oil,12,1996,1.197349055,1.578979277,Australia
Crude oil,12,1997,1.270822573,1.607383739,Australia
Crude oil,12,1998,1.203289979,1.604074913,Australia
Crude oil,12,1999,1.172006116,1.655550793,Australia
Crude oil,12,2000,1.582410671,1.646114425,Australia
Crude oil,12,2001,1.46418538,1.656731973,Australia
Crude oil,12,2002,1.455089274,1.648933982,Australia
Crude oil,12,2003,1.259506363,1.646002079,Australia
Crude oil,12,2004,1.099968056,1.694143837,Australia
Crude oil,12,2005,1.080515262,1.679309629,Australia
Crude oil,12,2006,1.002965529,1.823635434,Australia
Crude oil,12,2007,1.044078131,1.795510125,Australia
Crude oil,12,2008,1.029287939,1.799105404,Australia
Crude oil,12,2009,0.954541662,1.791960479,Australia
Crude oil,12,2010,1.046514609,1.774541797,Australia
Crude oil,12,2011,0.918427211,1.89330348,Australia
Crude oil,12,2012,0.912231463,1.967331325,Australia
Crude oil,12,2013,0.759776175,2.00017496,Australia
Crude oil,12,2014,0.814650828,2.023432654,Australia
Crude oil,12,2015,0.724645106,1.945787655,Australia
Crude oil,12,2016,0.665919469,1.961192101,Australia
Crude oil,12,2017,0.637646621,2.054126371,Australia
Crude oil,12,2018,0.646809378,2.110074159,Australia
Crude oil,12,2019,0.879827094,2.09431918,Australia
Crude oil,13,1965,0,0.237244027,Austria
Crude oil,13,1966,0,0.260921502,Austria
Crude oil,13,1967,0,0.277858362,Austria
Crude oil,13,1968,0,0.321501706,Austria
Crude oil,13,1969,0,0.353156997,Austria
Crude oil,13,1970,0,0.38809727,Austria
Crude oil,13,1971,0,0.433276451,Austria
Crude oil,13,1972,0,0.467448805,Austria
Crude oil,13,1973,0,0.506228669,Austria
Crude oil,13,1974,0,0.452773038,Austria
Crude oil,13,1975,0,0.457039249,Austria
Crude oil,13,1976,0,0.497013652,Austria
Crude oil,13,1977,0,0.475298635,Austria
Crude oil,13,1978,0,0.511945392,Austria
Crude oil,13,1979,0,0.533447099,Austria
Crude oil,13,1980,0,0.51996587,Austria
Crude oil,13,1981,0,0.471245734,Austria
Crude oil,13,1982,0,0.446629693,Austria
Crude oil,13,1983,0,0.431271331,Austria
Crude oil,13,1984,0,0.41894198,Austria
Crude oil,13,1985,0,0.419581911,Austria
Crude oil,13,1986,0,0.442704778,Austria
Crude oil,13,1987,0,0.455204778,Austria
Crude oil,13,1988,0,0.450554608,Austria
Crude oil,13,1989,0,0.442875427,Austria
Crude oil,13,1990,0,0.462791021,Austria
Crude oil,13,1991,0,0.498550867,Austria
Crude oil,13,1992,0,0.485630345,Austria
Crude oil,13,1993,0,0.489456308,Austria
Crude oil,13,1994,0,0.482715337,Austria
Crude oil,13,1995,0,0.482390439,Austria
Crude oil,13,1996,0,0.498783184,Austria
Crude oil,13,1997,0,0.507942421,Austria
Crude oil,13,1998,0,0.527467121,Austria
Crude oil,13,1999,0,0.51766821,Austria
Crude oil,13,2000,0,0.504724417,Austria
Crude oil,13,2001,0,0.548929453,Austria
Crude oil,13,2002,0,0.560458279,Austria
Crude oil,13,2003,0,0.606411216,Austria
Crude oil,13,2004,0,0.590051947,Austria
Crude oil,13,2005,0,0.587697254,Austria
Crude oil,13,2006,0,0.586965686,Austria
Crude oil,13,2007,0,0.551790398,Austria
Crude oil,13,2008,0,0.546828649,Austria
Crude oil,13,2009,0,0.519510345,Austria
Crude oil,13,2010,0,0.543138373,Austria
Crude oil,13,2011,0,0.506262024,Austria
Crude oil,13,2012,0,0.50562115,Austria
Crude oil,13,2013,0,0.521886495,Austria
Crude oil,13,2014,0,0.50074123,Austria
Crude oil,13,2015,0,0.497885853,Austria
Crude oil,13,2016,0,0.515226389,Austria
Crude oil,13,2017,0,0.522984353,Austria
Crude oil,13,2018,0,0.529594266,Austria
Crude oil,13,2019,0,0.541451384,Austria
Crude oil,14,1965,0,0,Azerbaijan
Crude oil,14,1966,0,0,Azerbaijan
Crude oil,14,1967,0,0,Azerbaijan
Crude oil,14,1968,0,0,Azerbaijan
Crude oil,14,1969,0,0,Azerbaijan
Crude oil,14,1970,0,0,Azerbaijan
Crude oil,14,1971,0,0,Azerbaijan
Crude oil,14,1972,0,0,Azerbaijan
Crude oil,14,1973,0,0,Azerbaijan
Crude oil,14,1974,0,0,Azerbaijan
Crude oil,14,1975,0,0,Azerbaijan
Crude oil,14,1976,0,0,Azerbaijan
Crude oil,14,1977,0,0,Azerbaijan
Crude oil,14,1978,0,0,Azerbaijan
Crude oil,14,1979,0,0,Azerbaijan
Crude oil,14,1980,0,0,Azerbaijan
Crude oil,14,1981,0,0,Azerbaijan
Crude oil,14,1982,0,0,Azerbaijan
Crude oil,14,1983,0,0,Azerbaijan
Crude oil,14,1984,0,0,Azerbaijan
Crude oil,14,1985,0.564419795,0.352042026,Azerbaijan
Crude oil,14,1986,0.556740614,0.369001632,Azerbaijan
Crude oil,14,1987,0.593430034,0.347451378,Azerbaijan
Crude oil,14,1988,0.586177474,0.356003845,Azerbaijan
Crude oil,14,1989,0.561433447,0.347286422,Azerbaijan
