Year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,US
1960,61433,866594,425974,282993,3449919,424556,507999,119871,156406,809559,701005,94839,601996,190661,2523973,1530437,631316,823236,1502163,1054127,697260,232332,1851644,723031,899857,404939,227460,826470,159415,307836,112158,1301938,328439,90994,2989032,2994711,580906,470579,3253214,187082,489216,128835,962617,4416216,303229,851297,68554,807277,854308,617977,141355,45033606
1961,72173,831311,431586,304835,3609108,461749,518130,118175,150335,848703,705734,113754,600070,202853,2558990,1551091,618147,818917,1564830,1079950,699934,244897,1876674,728237,898673,411387,241691,858960,154763,314944,119931,1361749,340085,104789,3093838,2898735,582692,485140,3146037,172905,507093,131556,978121,4447880,300811,854600,71941,823383,877011,648667,154474,45684153
1962,78812,881239,456788,324913,3724117,468348,536644,120458,161918,949391,764902,108286,626526,211160,2656186,1580987,639460,836442,1580187,1111915,748394,237907,1985156,766680,939806,438300,248275,902745,164872,327421,128225,1460847,376092,112985,3238540,3036395,692041,509385,3255423,180862,540137,136645,1015575,4640675,310319,883702,74781,860062,917963,656276,173407,47773067
1963,80788,913155,484672,348302,3923736,465929,545224,121016,172781,994376,802968,114265,644262,213298,2719427,1635028,641033,888319,1747248,1083270,775284,241423,2072621,775637,954239,473278,252510,930073,170619,334977,133691,1501224,370467,123243,3305923,3113988,768636,527201,3391013,180600,561023,140408,1062187,4894089,311815,939691,74605,900608,940067,689629,163153,49605630
1964,85067,979212,527123,369663,4219633,498054,563507,132268,173156,1049548,857040,123433,669473,230412,2849301,1714801,657075,890219,1866221,1119625,823757,242725,2140394,816048,989314,513324,263813,967053,172006,347076,133091,1538414,365774,133731,3382126,3215365,802725,578504,3588928,178156,560524,143784,1088445,5012683,334525,969280,72070,961435,974857,729022,163391,51766732
1965,87782,1044616,528740,375200,4385719,508687,569505,159170,184269,1111530,917174,130560,696730,234742,3026466,1798393,723629,899590,1832996,1245258,859906,232176,2278302,865284,1043038,511644,258824,1000435,169405,348616,131247,1569751,353197,130174,3664673,3369016,774367,591834,3731977,173485,554319,140065,1137343,5212184,339504,1046094,83090,996454,1030533,753923,172698,53965864
1966,102696,1088204,566110,403460,4645217,531922,609289,169525,192519,1180231,997589,145474,698683,245066,3185513,1919366,763521,905831,1973892,1247984,900300,244258,2430278,922187,1102147,566410,275598,1089558,180786,389146,144764,1667786,375974,144957,3867170,3539868,744879,630433,3831882,175290,593446,146362,1231562,5557255,350834,1116959,90907,1058961,1091996,771519,180286,56960904
1967,115172,1138573,596737,414501,4841003,555487,624114,182216,187575,1223737,1062811,163865,747574,266750,3315076,1952042,722888,953994,2236542,1326492,915531,256811,2490875,929413,1132505,579960,260368,1137963,185106,385223,149526,1768292,407731,150718,3955831,3543981,763519,646405,3816103,193450,603092,145670,1236057,5879030,345267,1137190,94557,1112762,1137123,739838,205150,58916870
1968,122533,1246669,635396,456156,5115122,622770,648770,181890,206901,1349462,1154038,182799,781902,287248,3450826,2043409,793842,1014155,2422111,1373613,968996,271194,2627315,991475,1211237,645521,280467,1211104,191968,422750,159459,1841016,436306,163400,4052442,3710053,843549,691620,3959290,197936,654373,153321,1284591,6268911,365623,1197529,100490,1210234,1184174,807461,225588,62401694
1969,156631,1343138,681052,498192,5356783,648877,667657,195629,219454,1453793,1228189,190862,821912,286782,3634712,2157093,839336,1073330,2701453,1402415,1023972,288283,2734264,1081915,1265602,684793,314298,1281029,192560,455912,176217,1896202,429135,176999,4200652,3856077,886447,733064,3982119,210703,699204,159805,1340773,6656323,395838,1237230,106584,1296162,1248392,796648,250536,65578920
1970,182039,1393497,708904,520401,5499139,677623,693930,205891,219722,1577450,1280820,196947,850609,296399,3696737,2219775,874267,1104720,2836864,1464384,1067972,302380,2702538,1107892,1309269,746912,322784,1342676,191117,487481,186601,1977939,458694,190122,4303439,3932645,939226,752924,4106916,222536,745729,168792,1365610,6921781,397019,1279028,113222,1294145,1289050,795739,255480,67720114
1971,200962,1384940,700736,554212,5747656,691909,682588,199397,222353,1674133,1348865,211673,862483,311605,3722756,2236217,908254,1117666,2897554,1493798,1104522,353571,2798196,1148516,1326842,786107,333934,1403918,195302,496173,201058,1970817,469511,201661,4251263,3871518,965680,796879,4044955,235513,779638,170183,1371116,7233774,415199,1322363,116968,1320979,1293197,779534,268453,69163993
1972,214377,1478039,744634,616452,5872011,756325,717611,188830,232526,1804005,1435584,218057,904471,334033,3929667,2435885,961171,1203074,3083286,1546466,1122760,380418,2970324,1209799,1383498,830744,342383,1480269,203742,509525,212305,2079998,501736,217655,4269847,4125705,1019204,837435,4187795,236763,834960,179190,1473992,7623194,428177,1375395,123917,1462402,1287690,828980,286868,72677208
1973,196965,1527209,820083,670117,6047069,801930,743064,193442,246392,1995319,1555110,224312,962796,337008,4019481,2474472,966322,1236974,3317510,1581551,1214593,378940,3060405,1257708,1418725,847974,347660,1551096,202197,522129,216617,2122047,477784,233459,4419080,4218370,1024152,854962,4294356,231946,886118,176823,1614086,8241366,457776,1435070,126434,1498556,1354483,845774,283507,75723857
1974,201488,1547657,798333,676309,5816324,787106,714126,171284,228887,1929045,1495568,212103,949663,347813,3956458,2432022,959652,1228332,3408243,1475055,1123057,354413,2916310,1237566,1399043,817314,351944,1501847,204358,518540,206500,1981582,476488,233766,4128073,4198106,1064042,837588,4124018,215591,858642,172589,1578503,8093721,473666,1382349,116837,1494231,1341660,841728,278885,73914525
1975,232172,1515130,785659,660004,6032845,784438,689513,163161,218797,1939837,1489772,214378,942050,358858,3860591,2377767,924911,1278425,3107626,1420313,1069386,324651,2865742,1246041,1412553,771990,345409,1458782,206515,525658,201882,1883779,459396,238093,3925249,3979902,1070091,867638,3913887,206221,840874,181948,1614225,7511439,480756,1358994,114356,1458166,1341892,790364,277367,71953031
1976,254649,1551806,840830,691884,6186312,818799,742109,164436,229178,2062020,1552529,220042,979112,362198,4019369,2410240,972467,1400423,3535790,1499176,1148110,380599,2983999,1293627,1471585,778923,365130,1558503,210442,554831,226976,2070578,508860,250239,4224994,4208900,1162766,885915,4164173,215504,964613,195374,1720063,7835920,510233,1443835,131790,1506955,1372938,826694,300313,75966653
1977,293489,1623443,886292,738889,6361466,835096,748110,163353,227666,2217477,1628701,233334,979937,366421,4099481,2485596,981082,1414018,3936486,1486580,1129827,396866,2873174,1257346,1505717,819170,361105,1633866,210359,556876,230352,2005608,473306,256716,4195220,4198403,1224894,885093,4127190,223147,1000303,196832,1779374,8475779,486089,1486224,129325,1524554,1437713,819746,325289,77946963
