Commodity,Pid,Year,Production,Consumption,Country
Renewable energy,4,1965,0,0,Algeria
Renewable energy,4,1966,0,0,Algeria
Renewable energy,4,1967,0,0,Algeria
Renewable energy,4,1968,0,0,Algeria
Renewable energy,4,1969,0,0,Algeria
Renewable energy,4,1970,0,0,Algeria
Renewable energy,4,1971,0,0,Algeria
Renewable energy,4,1972,0,0,Algeria
Renewable energy,4,1973,0,0,Algeria
Renewable energy,4,1974,0,0,Algeria
Renewable energy,4,1975,0,0,Algeria
Renewable energy,4,1976,0,0,Algeria
Renewable energy,4,1977,0,0,Algeria
Renewable energy,4,1978,0,0,Algeria
Renewable energy,4,1979,0,0,Algeria
Renewable energy,4,1980,0,0,Algeria
Renewable energy,4,1981,0,0,Algeria
Renewable energy,4,1982,0,0,Algeria
Renewable energy,4,1983,0,0,Algeria
Renewable energy,4,1984,0,0,Algeria
Renewable energy,4,1985,0,0,Algeria
Renewable energy,4,1986,0,0,Algeria
Renewable energy,4,1987,0,0,Algeria
Renewable energy,4,1988,0,0,Algeria
Renewable energy,4,1989,0,0,Algeria
Renewable energy,4,1990,0,0,Algeria
Renewable energy,4,1991,0,0,Algeria
Renewable energy,4,1992,0,0,Algeria
Renewable energy,4,1993,0,0,Algeria
Renewable energy,4,1994,0,0,Algeria
Renewable energy,4,1995,0,0,Algeria
Renewable energy,4,1996,0,0,Algeria
Renewable energy,4,1997,0,0,Algeria
Renewable energy,4,1998,0,0,Algeria
Renewable energy,4,1999,0,0,Algeria
Renewable energy,4,2000,0,0,Algeria
Renewable energy,4,2001,0,0,Algeria
Renewable energy,4,2002,0,0,Algeria
Renewable energy,4,2003,0,0,Algeria
Renewable energy,4,2004,0,0,Algeria
Renewable energy,4,2005,0,0,Algeria
Renewable energy,4,2006,0,0,Algeria
Renewable energy,4,2007,0,0,Algeria
Renewable energy,4,2008,0,0,Algeria
Renewable energy,4,2009,0,0,Algeria
Renewable energy,4.00E+00,2010,8.54E-05,8.54E-05,Algeria
Renewable energy,4,2011,0.000169035,0.000169035,Algeria
Renewable energy,4,2012,0.000247795,0.000247795,Algeria
Renewable energy,4,2013,0.000263602,0.000263602,Algeria
Renewable energy,4,2014,0.000558862,0.000558862,Algeria
Renewable energy,4,2015,0.00070125,0.00070125,Algeria
Renewable energy,4,2016,0.00239053,0.00239053,Algeria
Renewable energy,4,2017,0.004707,0.004707,Algeria
Renewable energy,4,2018,0.005484737,0.005484737,Algeria
Renewable energy,4,2019,0.005571487,0.005571487,Algeria
Renewable energy,6,1965,,,Angola
Renewable energy,6,1966,,,Angola
Renewable energy,6,1967,,,Angola
Renewable energy,6,1968,,,Angola
Renewable energy,6,1969,,,Angola
Renewable energy,6,1970,,,Angola
Renewable energy,6,1971,,,Angola
Renewable energy,6,1972,,,Angola
Renewable energy,6,1973,,,Angola
Renewable energy,6,1974,,,Angola
Renewable energy,6,1975,,,Angola
Renewable energy,6,1976,,,Angola
Renewable energy,6,1977,,,Angola
Renewable energy,6,1978,,,Angola
Renewable energy,6,1979,,,Angola
Renewable energy,6,1980,,,Angola
Renewable energy,6,1981,,,Angola
Renewable energy,6,1982,,,Angola
Renewable energy,6,1983,,,Angola
Renewable energy,6,1984,,,Angola
Renewable energy,6,1985,,,Angola
Renewable energy,6,1986,,,Angola
Renewable energy,6,1987,,,Angola
Renewable energy,6,1988,,,Angola
Renewable energy,6,1989,,,Angola
Renewable energy,6,1990,,,Angola
Renewable energy,6,1991,,,Angola
Renewable energy,6,1992,,,Angola
Renewable energy,6,1993,,,Angola
Renewable energy,6,1994,,,Angola
Renewable energy,6,1995,,,Angola
Renewable energy,6,1996,,,Angola
Renewable energy,6,1997,,,Angola
Renewable energy,6,1998,,,Angola
Renewable energy,6,1999,,,Angola
Renewable energy,6,2000,,,Angola
Renewable energy,6,2001,,,Angola
Renewable energy,6,2002,,,Angola
Renewable energy,6,2003,,,Angola
Renewable energy,6,2004,,,Angola
Renewable energy,6,2005,,,Angola
Renewable energy,6,2006,,,Angola
Renewable energy,6,2007,,,Angola
Renewable energy,6,2008,,,Angola
Renewable energy,6,2009,,,Angola
Renewable energy,6,2010,,,Angola
Renewable energy,6,2011,,,Angola
Renewable energy,6,2012,,,Angola
Renewable energy,6,2013,,,Angola
Renewable energy,6,2014,,,Angola
Renewable energy,6,2015,,,Angola
Renewable energy,6,2016,,,Angola
Renewable energy,6,2017,,,Angola
Renewable energy,6,2018,,,Angola
Renewable energy,6,2019,,,Angola
Renewable energy,8,1965,0,0,Argentina
Renewable energy,8,1966,0,0,Argentina
Renewable energy,8,1967,0,0,Argentina
Renewable energy,8,1968,0,0,Argentina
Renewable energy,8,1969,0,0,Argentina
Renewable energy,8,1970,0.00047541,0.00047541,Argentina
Renewable energy,8,1971,0.000498646,0.000498646,Argentina
Renewable energy,8,1972,0.000643532,0.000643532,Argentina
Renewable energy,8,1973,0.000490424,0.000490424,Argentina
Renewable energy,8,1974,0.000500677,0.000500677,Argentina
Renewable energy,8,1975,0.000549226,0.000549226,Argentina
Renewable energy,8,1976,0.000502028,0.000502028,Argentina
Renewable energy,8,1977,0.000538551,0.000538551,Argentina
Renewable energy,8,1978,0.000541367,0.000541367,Argentina
Renewable energy,8,1979,0.000843938,0.000843938,Argentina
Renewable energy,8,1980,0.000862516,0.000862516,Argentina
Renewable energy,8,1981,0.000747225,0.000747225,Argentina
Renewable energy,8,1982,0.000959125,0.000959125,Argentina
Renewable energy,8,1983,0.001373148,0.001373148,Argentina
Renewable energy,8,1984,0.000973928,0.000973928,Argentina
Renewable energy,8,1985,0.001033216,0.001033216,Argentina
Renewable energy,8,1986,0.001070789,0.001070789,Argentina
Renewable energy,8,1987,0.001081568,0.001081568,Argentina
Renewable energy,8,1988,0.00121116,0.00121116,Argentina
Renewable energy,8,1989,0.001193769,0.001193769,Argentina
Renewable energy,8,1990,0.001067633,0.001067633,Argentina
Renewable energy,8,1991,0.000996004,0.000996004,Argentina
Renewable energy,8,1992,0.001018655,0.001018655,Argentina
Renewable energy,8,1993,0.001074384,0.001074384,Argentina
Renewable energy,8,1994,0.0011929,0.0011929,Argentina
Renewable energy,8,1995,0.001155925,0.001155925,Argentina
Renewable energy,8,1996,0.003610155,0.003610155,Argentina
Renewable energy,8,1997,0.004602241,0.004602241,Argentina
Renewable energy,8,1998,0.004964392,0.004964392,Argentina
Renewable energy,8,1999,0.006852621,0.006852621,Argentina
Renewable energy,8,2000,0.007098083,0.007098083,Argentina
Renewable energy,8,2001,0.006544524,0.006544524,Argentina
Renewable energy,8,2002,0.009117819,0.009117819,Argentina
Renewable energy,8,2003,0.01071097,0.01071097,Argentina
Renewable energy,8,2004,0.009480261,0.009480261,Argentina
Renewable energy,8,2005,0.011096117,0.011096117,Argentina
Renewable energy,8,2006,0.015753614,0.015753614,Argentina
Renewable energy,8,2007,0.015657739,0.015657739,Argentina
Renewable energy,8,2008,0.016493886,0.016493886,Argentina
Renewable energy,8,2009,0.016675713,0.016675713,Argentina
Renewable energy,8,2010,0.019136192,0.040600818,Argentina
Renewable energy,8,2011,0.020696146,0.052375777,Argentina
Renewable energy,8,2012,0.026259034,0.065414922,Argentina
Renewable energy,8,2013,0.026966517,0.070380696,Argentina
Renewable energy,8,2014,0.026912061,0.077710466,Argentina
Renewable energy,8,2015,0.027196447,0.082616138,Argentina
Renewable energy,8,2016,0.022859835,0.081678795,Argentina
Renewable energy,8,2017,0.027104747,0.094728179,Argentina
Renewable energy,8,2018,0.035907223,0.10051359,Argentina
Renewable energy,8,2019,0.073035317,0.138994549,Argentina
Renewable energy,12,1965,0.00296,0.00296,Australia
Renewable energy,12,1966,0.00284,0.00284,Australia
Renewable energy,12,1967,0.0029,0.0029,Australia
Renewable energy,12,1968,0.00282,0.00282,Australia
Renewable energy,12,1969,0.00281,0.00281,Australia
Renewable energy,12,1970,0.00261,0.00261,Australia
Renewable energy,12,1971,0.00263,0.00263,Australia
Renewable energy,12,1972,0.0028,0.0028,Australia
Renewable energy,12,1973,0.00338,0.00338,Australia
Renewable energy,12,1974,0.00429,0.00429,Australia
Renewable energy,12,1975,0.00489,0.00489,Australia
Renewable energy,12,1976,0.00484,0.00484,Australia
Renewable energy,12,1977,0.00429,0.00429,Australia
Renewable energy,12,1978,0.00405,0.00405,Australia
Renewable energy,12,1979,0.00418,0.00418,Australia
Renewable energy,12,1980,0.00385,0.00385,Australia
Renewable energy,12,1981,0.00404,0.00404,Australia
Renewable energy,12,1982,0.00516,0.00516,Australia
Renewable energy,12,1983,0.00431,0.00431,Australia
Renewable energy,12,1984,0.00441,0.00441,Australia
Renewable energy,12,1985,0.00456,0.00456,Australia
Renewable energy,12,1986,0.0046,0.0046,Australia
Renewable energy,12,1987,0.0047,0.0047,Australia
Renewable energy,12,1988,0.00731,0.00731,Australia
Renewable energy,12,1989,0.0081,0.0081,Australia
Renewable energy,12,1990,0.007595,0.007595,Australia
Renewable energy,12,1991,0.0072495,0.0072495,Australia
Renewable energy,12,1992,0.006821,0.006821,Australia
Renewable energy,12,1993,0.006866,0.006866,Australia
Renewable energy,12,1994,0.007194,0.007194,Australia
Renewable energy,12,1995,0.0085365,0.0085365,Australia
Renewable energy,12,1996,0.009791,0.009791,Australia
Renewable energy,12,1997,0.0103515,0.0103515,Australia
Renewable energy,12,1998,0.011346,0.011346,Australia
Renewable energy,12,1999,0.012171,0.012171,Australia
Renewable energy,12,2000,0.0107025,0.0107025,Australia
Renewable energy,12,2001,0.011312562,0.011312562,Australia
Renewable energy,12,2002,0.018346674,0.018346674,Australia
Renewable energy,12,2003,0.024117606,0.024117606,Australia
Renewable energy,12,2004,0.035893605,0.035893605,Australia
Renewable energy,12,2005,0.05087831,0.051166237,Australia
Renewable energy,12,2006,0.059584358,0.062990753,Australia
Renewable energy,12,2007,0.069240628,0.082230114,Australia
Renewable energy,12,2008,0.069313276,0.100459594,Australia
Renewable energy,12,2009,0.070973036,0.116684215,Australia
Renewable energy,12,2010,0.078886033,0.147862309,Australia
Renewable energy,12,2011,0.103093047,0.175888845,Australia
Renewable energy,12,2012,0.122723155,0.187548128,Australia
Renewable energy,12,2013,0.151507328,0.212961258,Australia
Renewable energy,12,2014,0.167432957,0.226351043,Australia
Renewable energy,12,2015,0.197834571,0.251341135,Australia
Renewable energy,12,2016,0.21867619,0.264341607,Australia
Renewable energy,12,2017,0.231149456,0.282713024,Australia
Renewable energy,12,2018,0.28850879,0.345565221,Australia
Renewable energy,12,2019,0.365945217,0.421686265,Australia
Renewable energy,13,1965,0,0,Austria
Renewable energy,13,1966,0,0,Austria
Renewable energy,13,1967,0,0,Austria
Renewable energy,13,1968,0,0,Austria
Renewable energy,13,1969,0,0,Austria
Renewable energy,13,1970,0,0,Austria
Renewable energy,13,1971,0,0,Austria
Renewable energy,13,1972,0,0,Austria
Renewable energy,13,1973,0,0,Austria
Renewable energy,13,1974,0,0,Austria
Renewable energy,13,1975,0,0,Austria
Renewable energy,13,1976,0,0,Austria
Renewable energy,13,1977,0,0,Austria
Renewable energy,13,1978,0,0,Austria
Renewable energy,13,1979,0,0,Austria
Renewable energy,13,1980,0,0,Austria
Renewable energy,13,1981,0,0,Austria
Renewable energy,13,1982,0,0,Austria
Renewable energy,13,1983,0,0,Austria
Renewable energy,13,1984,0,0,Austria
Renewable energy,13,1985,0,0,Austria
Renewable energy,13,1986,0.01287501,0.01287501,Austria
Renewable energy,13,1987,0.00905816,0.00905816,Austria
Renewable energy,13,1988,0.0104696,0.0104696,Austria
Renewable energy,13,1989,0.0110445,0.0110445,Austria
Renewable energy,13,1990,0.01142485,0.011690453,Austria
Renewable energy,13,1991,0.01225832,0.012553124,Austria
Renewable energy,13,1992,0.01329164,0.013618154,Austria
Renewable energy,13,1993,0.01362111,0.013996443,Austria
Renewable energy,13,1994,0.01211555,0.012380193,Austria
Renewable energy,13,1995,0.01859221,0.01906463,Austria
Renewable energy,13,1996,0.01595444,0.01641776,Austria
Renewable energy,13,1997,0.01733389,0.017882587,Austria
Renewable energy,13,1998,0.01889777,0.019459085,Austria
Renewable energy,13,1999,0.016499118,0.017159833,Austria
