Commodity,Year,Month,Pid,Production,Consumption
Renewable energy,1965,1,4,0,0
Renewable energy,1966,1,4,0,0
Renewable energy,1967,1,4,0,0
Renewable energy,1968,1,4,0,0
Renewable energy,1969,1,4,0,0
Renewable energy,1970,1,4,0,0
Renewable energy,1971,1,4,0,0
Renewable energy,1972,1,4,0,0
Renewable energy,1973,1,4,0,0
Renewable energy,1974,1,4,0,0
Renewable energy,1975,1,4,0,0
Renewable energy,1976,1,4,0,0
Renewable energy,1977,1,4,0,0
Renewable energy,1978,1,4,0,0
Renewable energy,1979,1,4,0,0
Renewable energy,1980,1,4,0,0
Renewable energy,1981,1,4,0,0
Renewable energy,1982,1,4,0,0
Renewable energy,1983,1,4,0,0
Renewable energy,1984,1,4,0,0
Renewable energy,1985,1,4,0,0
Renewable energy,1986,1,4,0,0
Renewable energy,1987,1,4,0,0
Renewable energy,1988,1,4,0,0
Renewable energy,1989,1,4,0,0
Renewable energy,1990,1,4,0,0
Renewable energy,1991,1,4,0,0
Renewable energy,1992,1,4,0,0
Renewable energy,1993,1,4,0,0
Renewable energy,1994,1,4,0,0
Renewable energy,1995,1,4,0,0
Renewable energy,1996,1,4,0,0
Renewable energy,1997,1,4,0,0
Renewable energy,1998,1,4,0,0
Renewable energy,1999,1,4,0,0
Renewable energy,2000,1,4,0,0
Renewable energy,2001,1,4,0,0
Renewable energy,2002,1,4,0,0
Renewable energy,2003,1,4,0,0
Renewable energy,2004,1,4,0,0
Renewable energy,2005,1,4,0,0
Renewable energy,2006,1,4,0,0
Renewable energy,2007,1,4,0,0
Renewable energy,2008,1,4,0,0
Renewable energy,2009,1,4,0,0
Renewable energy,2010,1,4.00E+00,8.54E-05,8.54E-05
Renewable energy,2011,1,4,0.000169035,0.000169035
Renewable energy,2012,1,4,0.000247795,0.000247795
Renewable energy,2013,1,4,0.000263602,0.000263602
Renewable energy,2014,1,4,0.000558862,0.000558862
Renewable energy,2015,1,4,0.00070125,0.00070125
Renewable energy,2016,1,4,0.00239053,0.00239053
Renewable energy,2017,1,4,0.004707,0.004707
Renewable energy,2018,1,4,0.005484737,0.005484737
Renewable energy,2019,1,4,0.005571487,0.005571487
Renewable energy,1965,1,6,,
Renewable energy,1966,1,6,,
Renewable energy,1967,1,6,,
Renewable energy,1968,1,6,,
Renewable energy,1969,1,6,,
Renewable energy,1970,1,6,,
Renewable energy,1971,1,6,,
Renewable energy,1972,1,6,,
Renewable energy,1973,1,6,,
Renewable energy,1974,1,6,,
Renewable energy,1975,1,6,,
Renewable energy,1976,1,6,,
Renewable energy,1977,1,6,,
Renewable energy,1978,1,6,,
Renewable energy,1979,1,6,,
Renewable energy,1980,1,6,,
Renewable energy,1981,1,6,,
Renewable energy,1982,1,6,,
Renewable energy,1983,1,6,,
Renewable energy,1984,1,6,,
Renewable energy,1985,1,6,,
Renewable energy,1986,1,6,,
Renewable energy,1987,1,6,,
Renewable energy,1988,1,6,,
Renewable energy,1989,1,6,,
Renewable energy,1990,1,6,,
Renewable energy,1991,1,6,,
Renewable energy,1992,1,6,,
Renewable energy,1993,1,6,,
Renewable energy,1994,1,6,,
Renewable energy,1995,1,6,,
Renewable energy,1996,1,6,,
Renewable energy,1997,1,6,,
Renewable energy,1998,1,6,,
Renewable energy,1999,1,6,,
Renewable energy,2000,1,6,,
Renewable energy,2001,1,6,,
Renewable energy,2002,1,6,,
Renewable energy,2003,1,6,,
Renewable energy,2004,1,6,,
Renewable energy,2005,1,6,,
Renewable energy,2006,1,6,,
Renewable energy,2007,1,6,,
Renewable energy,2008,1,6,,
Renewable energy,2009,1,6,,
Renewable energy,2010,1,6,,
Renewable energy,2011,1,6,,
Renewable energy,2012,1,6,,
Renewable energy,2013,1,6,,
Renewable energy,2014,1,6,,
Renewable energy,2015,1,6,,
Renewable energy,2016,1,6,,
Renewable energy,2017,1,6,,
Renewable energy,2018,1,6,,
Renewable energy,2019,1,6,,
Renewable energy,1965,1,8,0,0
Renewable energy,1966,1,8,0,0
Renewable energy,1967,1,8,0,0
Renewable energy,1968,1,8,0,0
Renewable energy,1969,1,8,0,0
Renewable energy,1970,1,8,0.00047541,0.00047541
Renewable energy,1971,1,8,0.000498646,0.000498646
Renewable energy,1972,1,8,0.000643532,0.000643532
Renewable energy,1973,1,8,0.000490424,0.000490424
Renewable energy,1974,1,8,0.000500677,0.000500677
Renewable energy,1975,1,8,0.000549226,0.000549226
Renewable energy,1976,1,8,0.000502028,0.000502028
Renewable energy,1977,1,8,0.000538551,0.000538551
Renewable energy,1978,1,8,0.000541367,0.000541367
Renewable energy,1979,1,8,0.000843938,0.000843938
Renewable energy,1980,1,8,0.000862516,0.000862516
Renewable energy,1981,1,8,0.000747225,0.000747225
Renewable energy,1982,1,8,0.000959125,0.000959125
Renewable energy,1983,1,8,0.001373148,0.001373148
Renewable energy,1984,1,8,0.000973928,0.000973928
Renewable energy,1985,1,8,0.001033216,0.001033216
Renewable energy,1986,1,8,0.001070789,0.001070789
Renewable energy,1987,1,8,0.001081568,0.001081568
Renewable energy,1988,1,8,0.00121116,0.00121116
Renewable energy,1989,1,8,0.001193769,0.001193769
Renewable energy,1990,1,8,0.001067633,0.001067633
Renewable energy,1991,1,8,0.000996004,0.000996004
Renewable energy,1992,1,8,0.001018655,0.001018655
Renewable energy,1993,1,8,0.001074384,0.001074384
Renewable energy,1994,1,8,0.0011929,0.0011929
