id,YEAR,MONTH,TEMP,PRCP
108,1931,1,30.35,70.96
108,1931,2,35.96,46.42
108,1931,3,43.77,35.48
108,1931,4,51.6,10.0
108,1931,5,62.5,12.9
108,1931,6,68.96,13.33
108,1931,7,78.74,0.0
108,1931,8,76.65,3.23
108,1931,9,63.13,23.33
108,1931,10,53.63,29.03
108,1931,11,36.78,36.66
108,1931,12,28.66,58.06
108,1932,1,26.13,64.51
108,1932,2,28.7,43.1
108,1932,3,37.52,59.67
108,1932,4,50.59,45.0
108,1932,5,57.96,38.71
108,1932,6,66.87,28.81
108,1932,7,73.92,11.29
108,1932,8,71.18,4.84
108,1932,9,63.71,3.33
108,1932,10,49.29,19.35
108,1932,11,42.19,40.0
108,1932,12,21.98,47.17
108,1933,1,29.4,66.12
108,1933,2,20.57,51.78
108,1933,3,41.65,34.37
108,1933,4,49.37,33.33
108,1933,5,54.25,35.48
108,1933,6,70.5,13.33
108,1933,7,76.34,0.0
108,1933,8,77.9,0.0
108,1933,9,60.72,13.33
108,1933,10,53.44,12.9
108,1933,11,39.26,13.33
108,1933,12,41.18,70.96
108,1934,1,38.84,41.93
108,1934,2,42.3,35.71
108,1934,3,49.59,32.25
108,1934,4,57.37,16.66
108,1934,5,65.47,9.68
108,1934,6,65.76,33.33
108,1934,7,76.97,12.9
108,1934,8,74.18,6.45
108,1934,9,60.39,6.67
108,1934,10,52.56,32.25
108,1934,11,45.28,46.66
108,1934,12,32.66,41.93
108,1935,1,30.06,38.71
108,1935,2,32.41,35.71
108,1935,3,40.13,29.03
108,1935,4,49.18,43.33
108,1935,5,57.08,19.35
108,1935,6,67.3,6.67
108,1935,7,73.61,9.68
108,1935,8,71.25,0.0
108,1935,9,64.99,3.33
108,1935,10,49.71,19.35
108,1935,11,33.02,43.33
108,1935,12,28.38,35.48
108,1936,1,31.31,54.83
108,1936,2,27.37,62.06
108,1936,3,39.82,35.48
108,1936,4,54.16,26.66
108,1936,5,62.75,12.9
108,1936,6,68.9,30.0
108,1936,7,77.57,12.9
108,1936,8,74.62,6.45
108,1936,9,59.94,3.33
108,1936,10,51.95,3.23
108,1936,11,33.04,10.0
108,1936,12,33.84,45.16
108,1937,1,14.63,61.28
108,1937,2,32.06,57.14
108,1937,3,44.05,35.48
108,1937,4,48.69,46.66
108,1937,5,60.86,16.13
108,1937,6,65.8,23.33
108,1937,7,77.14,12.9
108,1937,8,70.94,0.0
108,1937,9,64.39,6.67
108,1937,10,53.07,12.9
108,1937,11,45.03,53.33
108,1937,12,36.49,41.93
108,1938,1,32.8,0.0
108,1939,6,63.94,16.66
108,1939,7,75.72,9.68
108,1939,8,77.6,0.0
108,1939,9,63.27,16.66
108,1939,10,50.81,32.25
108,1939,11,38.55,16.66
108,1939,12,39.15,51.61
108,1940,1,34.8,
108,1941,8,66.41,27.27
108,1941,9,58.3,16.66
108,1941,10,51.28,35.48
108,1941,11,41.44,33.33
108,1941,12,35.63,61.28
108,1942,1,21.31,48.38
108,1942,2,31.41,53.57
108,1942,3,40.02,29.03
108,1942,4,52.15,36.66
108,1942,5,53.38,51.61
108,1942,6,54.8,0.0
108,1942,10,47.2,27.27
108,1942,11,40.97,56.66
108,1942,12,34.88,70.96
108,1943,1,28.8,58.33
108,1943,2,33.49,30.35
108,1943,3,37.5,48.38
108,1943,4,53.8,40.0
108,1943,5,54.06,30.64
108,1943,6,60.71,41.66
108,1943,7,74.63,16.09
108,1943,8,72.9,17.2
108,1943,9,67.32,3.33
108,1943,10,53.78,43.01
108,1943,11,39.61,15.55
108,1943,12,31.56,33.33
108,1944,1,23.46,30.1
108,1944,2,32.71,56.32
108,1944,3,37.09,34.41
108,1944,4,47.5,55.55
108,1944,5,58.65,33.33
108,1944,6,60.57,53.33
108,1944,7,73.07,17.2
108,1944,8,71.65,4.3
108,1944,9,63.22,17.78
108,1944,10,56.25,12.9
108,1944,11,37.48,51.24
108,1944,12,25.93,40.32
108,1945,1,32.05,47.5
108,1945,2,37.19,53.57
108,1945,3,39.8,48.38
108,1945,4,47.29,23.33
108,1945,5,57.55,54.83
108,1945,6,62.54,46.66
108,1945,7,77.58,19.35
108,1945,8,75.15,6.45
108,1945,9,61.19,20.0
108,1945,10,54.98,22.58
108,1948,1,25.5,37.53
108,1948,2,27.33,53.14
108,1948,3,31.92,52.19
108,1948,4,43.19,61.81
108,1948,5,52.74,45.16
108,1948,6,63.25,47.57
108,1948,7,67.47,24.04
108,1948,8,67.18,22.42
108,1948,9,58.66,21.51
108,1948,10,47.62,21.7
108,1948,11,32.5,65.45
108,1948,12,21.03,71.84
108,1949,1,7.43,59.52
108,1949,2,22.95,62.98
108,1949,3,36.07,42.81
108,1949,4,49.15,22.72
108,1949,5,57.12,47.31
108,1949,6,62.03,28.57
108,1949,7,70.61,20.43
108,1949,8,70.5,20.97
108,1949,9,61.3,22.22
108,1949,10,42.23,33.06
108,1949,11,40.87,28.89
108,1949,12,26.23,56.01
108,1950,1,18.31,76.83
108,1950,2,28.84,50.32
108,1950,3,34.06,63.04
108,1950,4,42.81,35.45
108,1950,5,50.45,33.13
108,1950,6,59.44,34.84
108,1950,7,68.62,28.15
108,1950,8,67.84,19.94
108,1950,9,58.78,29.39
108,1950,10,49.73,37.83
108,1950,11,36.95,46.36
108,1950,12,32.73,57.36
108,1951,1,23.44,64.51
108,1951,2,29.97,56.78
108,1951,3,31.19,51.61
108,1951,4,46.81,22.54
108,1951,5,54.22,34.6
108,1951,6,59.2,25.76
108,1951,7,71.73,17.59
108,1951,8,67.5,31.38
108,1951,9,59.24,13.03
108,1951,10,44.63,46.62
108,1951,11,33.52,42.12
108,1951,12,23.23,73.6
108,1952,1,21.48,67.15
108,1952,2,24.01,52.66
108,1952,3,30.43,57.47
108,1952,4,47.54,26.36
108,1952,5,55.61,36.65
108,1952,6,61.49,39.39
108,1952,7,69.87,19.94
108,1952,8,69.83,16.13
108,1952,9,62.36,13.94
108,1952,10,52.42,2.93
108,1952,11,30.07,23.03
108,1952,12,28.91,60.4
108,1953,1,35.94,64.8
108,1953,2,32.22,49.35
108,1953,3,38.16,36.07
108,1953,4,43.16,43.63
108,1953,5,49.38,49.56
108,1953,6,58.45,32.42
108,1953,7,72.57,8.5
108,1953,8,69.12,23.75
108,1953,9,62.76,14.85
108,1953,10,50.05,17.59
108,1953,11,40.76,40.76
108,1953,12,27.89,56.77
108,1954,1,29.33,58.7
108,1954,2,34.58,35.71
108,1954,3,34.14,44.83
108,1954,4,46.72,35.0
108,1954,5,56.95,21.61
108,1954,6,58.7,42.66
108,1954,7,72.69,23.55
108,1954,8,66.81,24.84
108,1954,9,59.1,16.0
108,1954,10,46.11,18.39
108,1954,11,39.74,23.33
108,1954,12,25.05,46.45
108,1955,1,22.3,62.1
108,1955,2,26.19,52.97
108,1955,3,32.65,45.16
108,1955,4,42.88,50.55
108,1955,5,53.46,36.02
108,1955,6,64.64,28.33
108,1955,7,70.73,30.1
108,1955,8,73.47,18.28
108,1955,9,60.95,16.66
108,1955,10,50.89,32.79
108,1955,11,33.46,62.22
108,1955,12,32.17,61.82
108,1956,1,30.8,71.94
108,1956,2,23.15,50.0
108,1956,3,38.64,32.25
108,1956,4,49.35,31.11
108,1956,5,58.63,42.47
108,1956,6,64.84,23.33
108,1956,7,74.44,13.98
108,1956,8,69.33,23.65
108,1956,9,62.4,10.55
108,1956,10,48.39,48.38
108,1956,11,32.32,26.66
108,1956,12,29.63,45.69
108,1957,1,18.69,49.46
108,1957,2,32.71,50.0
108,1957,3,40.26,55.91
108,1957,4,46.79,42.77
108,1957,5,56.91,58.06
108,1957,6,65.43,30.0
108,1957,7,73.19,23.12
108,1957,8,71.15,17.2
108,1957,9,62.87,5.56
108,1957,10,48.41,34.94
108,1957,11,33.58,32.22
108,1957,12,33.1,59.67
108,1958,1,28.21,54.83
108,1958,2,38.77,52.38
108,1958,3,37.88,51.07
108,1958,4,45.66,47.22
108,1958,5,63.67,26.88
108,1958,6,66.2,33.89
108,1958,7,72.77,20.97
108,1958,8,75.11,23.65
108,1958,9,61.01,23.33
108,1958,10,52.15,9.68
108,1958,11,37.68,39.44
108,1958,12,35.06,47.84
108,1959,1,31.94,60.21
108,1959,2,33.81,54.16
108,1959,3,39.61,39.24
108,1959,4,49.67,27.78
108,1959,5,51.94,46.77
108,1959,6,68.04,22.78
108,1959,7,74.86,11.83
108,1959,8,70.17,13.44
108,1959,9,58.42,46.66
108,1959,10,49.07,23.12
108,1959,11,35.13,15.55
108,1959,12,27.98,23.12
108,1960,1,22.31,61.82
108,1960,2,28.62,52.87
108,1960,3,39.63,45.16
108,1960,4,48.62,34.44
108,1960,5,54.79,37.63
108,1960,6,67.94,15.55
108,1960,7,78.05,13.98
108,1960,8,68.1,17.74
108,1960,9,63.75,11.11
108,1960,10,49.15,25.8
108,1960,11,38.47,44.44
108,1960,12,26.78,27.95
108,1961,1,27.65,22.04
108,1961,2,37.11,67.85
108,1961,3,40.49,55.37
108,1961,4,46.77,28.33
108,1961,5,56.75,38.71
108,1961,6,71.49,23.89
108,1961,7,75.66,12.36
108,1961,8,75.38,36.02
108,1961,9,55.57,36.66
108,1961,10,46.58,33.87
108,1961,11,34.4,35.0
108,1961,12,28.53,60.75
108,1962,1,19.91,44.62
108,1962,2,30.36,59.52
108,1962,3,35.38,46.77
108,1962,4,51.17,24.44
108,1962,5,53.63,46.77
108,1962,6,64.81,31.11
108,1962,7,71.13,16.13
108,1962,8,69.22,19.89
108,1962,9,62.86,17.22
108,1962,10,50.79,19.35
108,1962,11,39.94,45.55
108,1962,12,32.03,40.32
108,1963,1,20.32,44.08
108,1963,2,39.6,39.28
108,1963,3,40.88,30.64
108,1963,4,44.74,53.88
108,1963,5,58.37,39.78
108,1963,6,61.42,52.77
108,1963,7,71.48,8.6
108,1963,8,71.99,18.28
108,1963,9,66.46,30.55
108,1963,10,54.8,29.03
108,1963,11,39.31,43.88
108,1963,12,25.08,46.23
108,1964,1,24.33,57.52
108,1964,2,23.51,36.78
108,1964,3,32.25,51.07
108,1964,4,44.07,40.55
108,1964,5,55.1,32.25
108,1964,6,60.81,53.33
108,1964,7,73.34,20.43
108,1964,8,68.29,13.44
108,1964,9,58.24,11.11
